,YAR002C-A,YBL039C,YBR126C,YBR154C,YDL100C,YDR063W,YDR174W,YER012W,YER025W,YGL011C,YGL048C,YGR083C,YGR086C,YGR087C,YGR155W,YHR018C,YHR128W,YHR179W,YIL109C,YIL155C,YJL001W,YJL066C,YJL088W,YLR314C,YLR438W,YMR012W,YMR202W,YMR229C,YNL016W,YNL138W,YNL216W,YNL287W,YNL312W,YNR016C,YOL086C,YOL097C,YOL151W,YOR042W,YOR198C,YOR276W
YCR073C,6.674432011607642,5.5503363121158005,7.4042699116783695,3.567056981883657,5.890164710752567,5.5393769851577686,4.644214488943812,5.940502944619019,5.66102650131054,6.093904286454952,5.6929702653530265,3.265596282463665,8.255917465104588,5.1407380094782775,8.176609363778844,7.362007925965147,6.0131141700788655,8.169465936408503,3.773667637114262,4.730645685792665,6.273671129586941,4.407667418407079,5.81452162052936,6.360369530321517,2.702624978091287,4.4166563310858935,5.8096198208996475,4.366606016398488,7.572159136300537,5.42884992252026,4.819363304818541,5.547825721217042,5.573990963231656,6.668429335847622,9.874770813811717,6.345210317453829,6.046464737253134,5.0111496285536985,6.659009666304869,4.885077192229952
YDL025C,6.360872937533188,6.169713339163844,7.037336446053496,3.5809605901831265,5.799646636201153,5.07533976557894,4.884484312296299,5.977580829823563,6.519882999137554,6.473102145526714,5.536527028823744,3.369839450736777,7.503334677822722,5.482807086061364,7.659873293238107,7.040957911397282,6.026421907243486,8.109013711223291,4.838525139588746,4.1357534796081366,6.108387330898743,4.106783555061144,6.216940924922022,6.1324002024087765,3.182598531538213,4.9119412337756225,6.036700792660613,5.310636015003994,7.59784248501695,4.848229046574435,4.649524265809536,4.577226835661801,5.410653989088456,7.812144319842884,10.0631521834053,6.29803833010779,5.6273986777483165,5.000972150783624,6.4268299440147425,5.139520533695507
YDL079C,6.333381572347287,5.710100765534848,7.338060979338932,3.5247496258971203,5.728228615338893,5.202997658250526,4.560686873871669,6.1839899954334046,5.838457773537849,6.407767862742201,5.591432723790266,3.850032824694008,8.003966334653528,5.136144208404615,7.588347354772805,7.264486577009682,6.340668893145826,7.966135481952124,4.317671245374409,4.6356810774989645,6.152551371562308,4.240716908543448,6.530855683753015,6.0662080748532885,3.575313965394552,4.965531624712607,5.684769321207608,4.754327523550721,7.377758976590508,4.5412052965703085,4.568976913812309,5.704754342812264,5.135690662182955,7.449195923019199,10.170494752828452,6.2476144065843675,5.719116062049527,4.909332039067986,6.4644377524107455,4.9094776888607825
YDL159W,6.335266798301574,5.599899227394676,6.987963006641344,3.4895222453223727,5.6820521233445564,4.7432214742951535,4.630500260028237,6.203006172368479,5.4297195767051685,6.295804373587209,5.870752868842969,3.9246333757842393,7.78684111097655,4.907248984564298,7.850072332371178,7.723189916894424,6.3943942914387675,8.750344639644903,4.432298943473596,4.438425209691852,6.705259738301105,3.9853665100459934,6.818460101581504,5.972641673755237,3.943482329884597,4.730121226940817,5.975183337321228,4.751415895355128,7.321539892449915,4.870198827041482,4.450967606232288,5.404865334773297,4.961873211156309,7.0606268367633085,9.953320515483863,6.475132675803728,5.811738002316942,5.058797700247991,7.02366398857853,4.835966077023642
YDL214C,6.21472860254513,6.001744174218383,6.7890578474530665,4.474615264012879,5.888016064395892,4.744302489600287,4.291786348681171,6.204777784915152,6.258233314181721,5.977397128459088,5.660795584927636,3.32581767697924,7.728031302192902,5.444486514410611,7.655914722742562,7.111798827822957,6.4885186013335625,8.352792130829469,4.341744933919984,4.022669720194048,6.314873593148834,4.028305078911621,6.6831870739062005,5.747661818529908,2.4080892564870977,4.870169675484236,5.953222010856041,4.7981047575705285,7.090038703671825,4.683321587465602,4.124035112997522,5.654130173871278,5.1306453492638635,7.253301058968697,10.100791599562218,6.407028137856441,5.831069746109133,4.820696361427576,6.430727250476041,4.974140590609989
YDR122W,6.412952575162508,5.215272959747802,6.453957884686584,3.7448058697418563,5.7694486699856755,5.214944409257108,4.760002840541016,6.400802726517986,5.174133521791439,6.265602189779737,5.958041739256688,3.9525638719268135,8.063407036161482,4.32581404198799,7.990889644620768,7.532568078202102,6.497692533596956,8.622462152259734,4.244811275929458,4.190846119361608,6.571782437487617,4.0144921697876415,6.58932604283659,6.03655998015062,4.178271785756296,4.810523709287272,5.869843364336367,4.4895711235252636,7.071395856564718,4.966799440752086,4.630976605086048,5.739369779053407,4.8445362035350445,6.675559157556688,9.927699724630543,6.418851073357036,6.029052514162756,4.828348736378906,7.267084590502535,4.978529757600918
YDR247W,6.328985454812223,5.3777359152803825,6.853487803415997,4.085579349723719,5.901046424770758,5.169657495328437,4.522348319316654,6.129293857059009,5.30010099638032,6.4543960139280045,5.95175591879791,3.934925495110876,7.996984366139479,5.376800181731051,7.786590791223429,7.078442014864778,6.332083642691224,7.648619713115036,3.7894313388615934,4.1185899936584995,6.674633701202849,4.478401132747765,6.123287151545769,6.012976164798352,4.310407827565109,4.7233939923718244,5.801361770408375,4.393450025087684,7.423829430359736,4.9563218632637644,4.055725705728293,5.5573930121744715,4.944329525653106,6.5842386547010765,10.371514646205217,6.597296633103151,5.283265491616647,4.654967589232513,6.872423276942074,4.740176909528066
YDR283C,6.340986658936669,5.155607069804075,6.697199287295632,3.9281727778524793,5.0896268792459205,5.209092389713092,4.940803513719488,5.841343933012001,6.113124747885983,6.46173741029926,5.684901850089158,4.2727418847671625,7.969685164500897,5.341906197145226,7.805930469432853,7.296530532954832,6.4166008987902226,7.7493918272017215,4.596081488323055,4.38527228549393,7.709123842602508,3.857688378763647,6.4077648141472885,5.907300311223098,3.6248664286082684,5.394260295006907,5.9495652154555225,5.037166975134553,7.3668922116481115,4.766956975551414,4.05486615764673,5.754676924619313,4.920310093233828,7.539315218200453,10.340783770952703,6.2962397514696535,5.401479776158726,4.8350863962750985,6.672272538752992,5.075387114589475
YDR466W,6.383373308336768,5.3555644537182205,7.325598693801483,2.8563456425461866,6.182433826291751,5.463505900969023,4.864647870928604,5.999432748434639,4.8861145823149945,6.0518229429718104,5.550980457377267,3.4458745257245957,8.80202200302177,4.98452883632616,8.266377647624202,7.326513342080318,6.713762580701323,8.312943606616452,4.52397635185409,4.3459787777257235,6.4306675757740885,4.371170064956703,6.180333254465529,6.29874571158201,4.238591962063954,4.976277201270579,5.531044310654087,4.552717414282922,7.2275924735718835,5.029854550901226,4.726087707164067,6.246382831782082,5.441682232620538,7.4516086163507165,10.15826739049928,6.3317994116083325,5.9700865878892335,5.3417317409013805,7.144294952324931,5.171368205518592
YDR477W,6.3176173541308085,6.061216040506652,6.607743213767821,3.3494784960426034,5.512090497553551,5.177844861338262,4.9255853054200855,6.577128324796692,6.134790814919446,6.49195344492888,5.5780830412722775,4.356236591444844,7.562393040877508,5.593332205421486,7.684954128579805,7.303748133971697,6.169311158463214,7.630748743795617,4.729633754237013,4.536332475236032,6.047987361338173,4.02685379732436,6.463728218475128,6.089437987925487,2.7098646804026543,5.265630846325972,6.105677053185137,5.227355124144078,7.403761711488104,4.3209678465061385,4.375506860225413,5.604822071654033,5.204656773948043,7.557895632348473,10.196826238638613,6.227991766587857,5.345261793414467,4.808679674596408,6.650773055097687,5.038190298930174
