,YBL045C,YBR078W,YBR109C,YDL173W,YDL182W,YDR050C,YDR063W,YDR155C,YDR353W,YDR427W,YEL071W,YER043C,YER052C,YFR010W,YFR030W,YGL048C,YGL206C,YGR175C,YGR204W,YGR231C,YGR254W,YHR042W,YHR174W,YJL012C,YJL066C,YJL167W,YJL200C,YJL217W,YJR016C,YJR065C,YLR441C,YMR099C,YMR120C,YMR229C,YNL134C,YNL135C,YNL248C,YOL030W,YOR099W,YPL143W
YDR490C,7.357928069129767,7.926608955364919,4.5659849976813875,4.641041230023784,7.925630652095742,9.544173858655519,5.312382953000713,7.8230562693484496,7.3633369060346245,5.071321525329238,8.13247748602536,8.306084335899225,6.403581351916585,4.163898822808247,6.1949115850596215,6.070314662911607,4.345845215330199,6.189120620967418,7.808485092117455,5.8602241889286395,9.676376736227862,6.524771865350427,10.299564387463997,4.851851568107199,4.445162797161025,5.726334685024142,7.41777364211977,5.624530843677723,7.8294327534295425,5.983253468534388,7.356782491890841,5.65780651539496,7.945222434913925,4.719983883450759,6.1773153043271,8.794270778015145,3.8754500365970173,5.3335501735353965,5.562796924391936,5.145164361789163
YDR523C,6.732072490418433,7.692806611502116,4.756816541976975,4.681213981040647,8.026017602667249,9.825022414544428,5.074792145692547,7.716819932689407,7.301284984563601,4.872633327558899,8.413348764760848,8.614239577699129,6.81345499874084,5.773060206987273,6.299443738903188,6.062513675749242,4.655109827466897,6.4688410963067815,7.798997068232597,5.844338165352943,9.819362799370186,6.708917256417704,10.317398034031957,5.136581269603509,4.527172535442774,5.835673195521458,7.324780447769303,6.422746777222465,7.832095998055188,6.230048045451047,7.098045573437313,5.906675061798534,8.016506188436715,4.5802796927383485,6.00021538842948,8.643373740494457,3.9546588965117335,4.7429699661825016,5.5179272075571575,4.862655354499045
YER129W,7.394142073868648,7.864585068988579,4.209697918781618,4.7675603105018265,8.159245809386228,9.788038559627733,5.477054359027402,8.275864862451392,6.778890596635747,4.787920207816772,8.260349792448459,8.167564421877286,6.722819827572294,4.375802726980071,5.403027456727651,5.5994200052341805,2.8980509536927093,5.634676922168531,7.828847669184188,5.676673314401178,9.755761151816694,6.158908703388679,10.802982648636348,5.1116714033343085,4.428390654786165,4.908441632807657,7.24596980214731,5.28645883348328,7.879798014671005,6.142098469182649,7.8103867015555934,5.196765906751454,7.569262612223348,4.132233517952505,5.292689203723878,8.78779993881921,4.477397582522754,4.948746934223781,5.6247990567722095,4.109163887382152
YFL033C,7.196036413162368,7.6154761293076705,3.824009216602596,4.370415008581833,7.702597417808826,9.637008735052925,5.276814071203893,7.784300326554513,7.133692600054754,4.786775093777488,8.031854880377946,8.84886152767522,6.579711677658608,3.941944637115496,6.533472276803704,5.8059666811204735,4.857475760953895,5.6593650897265375,8.060396928986577,5.671552659269622,9.51053919668654,6.322885492892263,10.669104541403305,5.412536279207228,4.177336850937581,5.675911120796669,7.414611549341713,5.4620385044620505,7.930943357252198,5.968533433084322,7.432462191387893,5.648616980054992,8.284924505219028,4.483193350085024,5.299576431259308,8.716785910093202,4.206450977965238,5.211942957358562,5.6902421563769625,4.4264037339115285
YFR014C,7.291043042488887,7.958705972252706,3.6580739870589474,4.418744865697431,7.676473897775581,9.916329517144668,4.976768557301613,8.007306047235833,7.088795829549112,4.128845470964001,8.212930221689177,8.081925218010822,6.6037405588796725,4.156250159033879,5.955262429416206,5.66849431246897,3.706385115705612,5.59738643214675,7.486550832679782,5.0736632061957385,9.758570231696282,6.200533285352856,10.35656603290253,5.375091444412719,3.9643133806115287,5.43030210155571,7.247167218995442,5.469831357353289,7.842420222033947,6.2226517044882845,7.912015520374566,5.507206909953287,7.945628361319658,3.9942243973660374,5.553621523735544,8.528200089927145,4.314084120140899,4.53897319582203,5.2201142071477635,4.72496970836283
YGL021W,7.419614553397193,8.052761500312071,3.929855539083925,4.704265059542952,7.713162366323781,9.946209410374294,5.411912842784034,7.9013893040996965,7.2197590232229745,4.766177248607201,7.919856458801802,7.939342497086973,6.266099077480898,4.223881086906316,5.442086418403217,5.763696611561454,3.3179361811596286,5.02225920399474,7.528820983164031,5.449434971423703,9.808837183625405,6.420924602085518,10.395338299357617,4.788618121748361,4.41441843954944,5.783318176981382,7.020365261063478,5.4796585138379585,7.640051479047632,6.12350892446584,7.72521425032714,5.431338837048188,7.639166470103313,3.767142505617938,5.909561786459649,8.507778626225742,4.173055344875596,4.587275026626966,5.339756149876905,4.789295439493628
YGL083W,7.159420249170141,7.94277878730911,2.8247254384231706,4.495643776924716,7.828190924835013,9.998423191644944,5.050716590349392,7.9840678349734215,7.0496375144047105,4.428661156007707,8.085997648743888,7.908103272738239,6.500424721293235,4.278220588337392,5.781205243091677,5.787347865738349,3.3637925716974784,5.598337748143831,7.68748341950961,5.147095237657632,9.593738868767707,6.1981210933090525,10.569951571205813,5.330440470006233,3.7798146689539376,5.689024192808485,7.17032616473161,5.608772093386576,7.806314978425214,6.058876732756237,7.707304399372949,5.463988769736352,8.041514942328787,3.7744062243906975,5.6421851663647855,8.575206496226523,4.250194110703726,4.701870396987621,5.199351717213877,4.5308129102680725
YGL119W,6.995673683869767,7.830868264702258,3.7207593726102495,4.4433152586771545,7.962500456773403,9.707583674614817,5.292995481080374,8.160618829543685,7.2162496829042935,4.837650567438659,8.1513628807795,8.364717708267607,6.792656612632794,4.02130212988775,5.947272834126276,5.786321062697568,4.134867643229087,5.305428157002672,7.797747543905835,5.735247331031232,9.550366823936226,6.4100970511724125,10.66293489971825,5.377912940203209,4.6038415486480035,5.668866662061245,7.360021087041407,5.551517951081222,7.847610494393887,6.2103490725340365,7.336008272413429,5.60867222250061,8.14193329534557,4.368269795578545,5.329068539739461,8.804219331343235,4.4456455965983865,5.178161123057488,5.5754628871337015,4.089553370340753
YGL158W,7.030515728801283,7.586319214102487,4.414735883376366,4.626326794652979,8.040842296559973,9.448597806552817,5.214266990333564,7.570343209944079,7.0136408813747275,5.142922372340965,8.185933233329882,8.531540734605986,6.724369580099966,4.3138122633599565,6.6671197566219345,5.668285170882416,4.815601331172457,6.146413844538103,8.230522948914738,5.621430527570771,9.582564623463405,6.283688505940067,10.161767916031556,5.669349340677545,4.14784419149841,5.69035392408818,7.529024297849097,6.1007991788450076,7.91864947243304,6.112723054890144,7.541119792410532,5.5516088882577534,8.488591472633637,4.945644775564066,5.052772979210982,8.596838689754161,4.049052757864379,5.1526674428968064,5.607359978379898,4.569819885691858
YGL179C,7.12066627942666,7.643163028515753,3.8672030928558963,4.395546712652736,7.935797755779108,9.564259364393234,5.231472482305068,8.165858009771206,7.2596642164078835,4.581197742218304,8.112668373758702,8.481716637978726,6.6246696734778485,4.397897066478409,6.291251101029498,5.810858749616648,4.476540128676251,5.305826137909358,7.81536014953575,5.557349033433543,9.485300106709694,6.381445934861963,10.558480005362684,4.9331480067445455,4.306556306722529,5.589028082979647,7.385955478584501,5.531923085334963,7.823743558799875,5.894245045644678,7.302214182166848,5.651771494848977,8.169012621288482,4.721383591752813,5.345185882117452,8.716217297218964,4.276058518464678,5.02892938544616,5.5708228388141725,4.350061480366101
