,YAL035W,YAR002C-A,YCL028W,YCL030C,YDL040C,YDL198C,YDR098C,YDR174W,YDR341C,YDR510W,YER042W,YFL039C,YGL011C,YGL062W,YGR061C,YGR148C,YGR240C,YGR285C,YHR027C,YHR068W,YHR183W,YIL075C,YJL060W,YJL130C,YJR007W,YJR016C,YJR125C,YKL210W,YLR027C,YLR061W,YLR257W,YLR259C,YLR303W,YLR314C,YMR229C,YNL069C,YOR204W,YOR285W,YOR298C-A,YPL160W
YGL180W,4.024191260804187,6.537409127689977,4.674669629420327,7.246886475076038,3.5962367101776413,5.561713380711359,5.059597918218484,4.681693617741256,7.568121232693889,5.539465792865208,5.525091495456295,9.198211803477596,6.381966294445245,5.757440338302696,6.862414892548463,6.105601050561293,7.226126665804918,6.377489909574063,5.7450315002158785,6.407250376909512,8.39808065943119,5.492492853526869,5.815542172511695,7.160620251130832,4.44087016811379,7.908585416999491,5.341638221350174,7.009983305813615,7.3719928756534365,6.285193160962727,4.5514558600024575,8.155928659237022,6.612448834339958,6.194007847374006,4.533480328024376,8.079390463763833,6.3770305059071335,6.230683571873128,6.216599254475559,7.059868251737118
YGR040W,4.929358866602925,6.587719309725445,4.510293575296312,7.335415861654633,4.132092490183595,5.544075809163284,5.391235915891229,5.141618299852332,7.675617306225418,5.034610894988867,5.6202718145756485,8.765336485952334,6.421510715349232,5.711120586217604,6.946061169550807,6.413948281554098,7.345430111756388,7.683469899718052,5.896568306637663,6.5432065792366885,8.366561494972645,5.5834878552441385,6.573917797905499,7.676401402662577,5.709093579779777,7.943561436199483,5.644604213173749,7.203643110152664,7.183110937024312,6.445973910827467,4.550552243822271,8.111570622519826,7.121362333512077,6.031704975249829,4.63116633752632,7.902951183759402,6.71675774620419,5.374634316555898,6.485780186804697,6.885170057674823
YGR052W,3.3416381953542684,6.864194282676388,4.894122848473852,7.207742765319256,3.403239521344492,5.372721268382787,3.8589592114854776,4.9979061191870136,7.158926455429639,5.878519610570782,5.710198360749304,9.458793030732695,6.638955590906893,5.376258292017195,6.873913840062557,6.867290264013271,7.161501731000135,6.770503379181379,5.344017083102979,6.485394718983638,8.221062856456982,4.829908588831637,5.848452385925992,6.645835218442713,4.872390050738393,7.690374648040027,5.0563517303419605,6.8442936510066845,7.025887683839687,7.075508096278317,5.267375635145611,8.501440023532219,6.640852980254527,6.507333112150485,4.312217016816153,7.279110217823655,5.297513651080355,6.89801394020414,6.357458633353487,6.687227363916392
YGR092W,5.558448883416616,6.405178777466889,4.339401911037272,7.3952245334492615,4.4465636900829315,5.978475568993138,5.099721106586793,4.5358134589801065,7.564430647654947,5.774749137776438,5.2811990966069775,8.831031023525654,6.23489280151016,5.952453028276827,7.348218623490053,5.954006204150474,7.704858988331697,6.77145116387237,6.587073115469573,6.89013230211642,8.576444397428943,6.028063518073073,6.249553460097957,7.7862350242982314,5.499298803302952,7.863331467878478,5.565383502546627,7.322884656984218,7.216165817331432,5.999393652451364,4.885805096684001,8.277644505897332,6.403285437594416,6.002650377668491,4.929131809940584,8.428072407030541,6.700509455372143,6.311282361597523,5.650691263932578,7.126405276625586
YGR188C,3.7793570467605013,6.309639586476539,4.554310678860416,7.328413281416206,3.7826202371189313,6.109393013924234,5.161745532507164,4.998231928926953,7.572307100479457,5.397839818830082,6.027872576405287,8.606942967524473,6.437873329816159,5.684890786905923,7.166336579612775,6.294884197263002,7.360054996388374,6.634846425274214,6.237279499300816,6.750844555499816,8.515941568347786,5.713399497832353,5.947346375861112,7.383729022403742,5.687638932787688,7.9654185871947805,5.615445860236855,7.09894488826365,7.295079483091437,6.5876575988970565,4.595221700087703,8.27501802883441,7.353991609312628,5.9583707223031475,4.684331418759876,8.070951931618241,6.605499970399518,6.3973403898049375,6.4236585645786475,6.9047119834599515
YHL007C,4.289958833929162,6.231253132535434,4.524014683625036,7.1909571125193805,4.261395161318847,6.410387837289032,5.42129142876433,4.30423802699248,7.736137929383607,5.905485447181835,5.591675468919562,8.807533046622193,6.014400959228068,6.19113535689069,7.383366566497368,6.153033154271836,7.755994463186416,6.480968596512832,6.234866061632143,6.45654339299584,8.537705670130643,5.844282298340731,5.898263335340205,7.817983605995296,5.7000151168113025,8.156418273103062,5.695778389880906,7.207740906934409,7.189990714470077,6.892341884598602,4.327646021467815,8.186566179847171,5.989300510907223,5.966314558761144,5.23871246596059,8.261327025791037,6.437062904113962,5.639738588026132,6.108687334322945,7.306443528727213
YHR030C,4.06552836702848,6.778902855533559,4.5709261937803936,7.287469759252883,3.2916746298918365,5.815633842383478,5.5698134682387765,4.658209085287088,7.4789797258687605,5.326219638922017,5.696343536331384,9.065229478870313,6.5314136766005015,6.025480864202804,7.054180745558794,6.1149406426750845,7.307867351432281,7.297164782408836,6.105137102400932,6.757213216391798,8.558561567642569,5.3646261504357176,6.338135533251062,7.1070099458209635,4.837836461721503,7.951590042552558,5.501898469392705,6.992859891745142,7.611717872829892,6.273541322484799,4.177266265572003,8.384246016204507,6.819876329442005,5.942296545678365,4.0313634906096265,7.746078249741198,6.8272388497908105,6.6015487077703865,6.071387994797193,6.69810148191687
YHR079C,5.635536978237188,6.449465191980456,4.3516415582315435,7.339358421927358,3.7671035311705827,5.389416620009018,5.19584186081632,4.71073769347197,7.2778377347041285,5.642844363205987,5.4277454270666965,9.078088505081821,6.267997499319779,6.228566142696365,7.398230622260201,6.3420005425338335,7.480994757174304,6.4518091473473325,6.144942996122388,6.574680671116183,8.157033974226309,5.762097028160177,6.5925868628907045,7.853580659787992,5.047736865706778,7.8529138572842685,5.680857750418978,6.944026698990448,7.132678023935468,6.569767188681609,4.842194665567666,8.159234056186731,6.967779239361335,6.126982470049449,4.958960590308874,7.840786219244954,6.312431882544148,6.7031986860063375,6.304390298261291,6.938614731823837
YHR082C,5.198610171548878,6.300687705722088,4.587384277610787,7.3153990227878465,4.141042127168132,6.220845529314544,5.306101087588064,4.2600535890003774,7.552441873812867,5.7153759432722415,5.647700860939135,8.779914005726432,6.337773645971183,6.528777398194334,7.5435524749518175,6.060575032513747,7.74447507099167,6.5333862040515855,6.214324896103679,6.536046662046143,8.329178488026567,5.774824788500452,6.482751304553188,8.219783016122216,5.686753821380598,7.956391407004647,5.706471818471942,7.289538086993141,7.262851829423151,6.709236492624651,4.4450984630578825,8.133297333728283,6.3167249574249125,5.936461849175885,5.077033485539183,8.140140497520836,6.349899573080225,6.084984755060343,6.235444892253701,7.219163332031631
YHR135C,4.9536257909640495,6.462575780469344,4.609411529879039,7.272306384475715,4.051961740242532,6.144743797603973,5.533795019476523,4.560244527084799,7.658893566561147,5.36159406544833,5.419624860468024,9.055328449841458,6.438289948377812,5.969992313214385,6.948738361767635,6.403281720926857,7.277955029200534,6.5940767370815445,6.239759391968723,6.701393127938235,8.532299609895897,5.389152060237573,6.575469060905602,7.451333997238896,5.597473335406373,8.088501470894093,5.612803428477726,6.6902965845607,7.316810557300083,6.672015935648124,4.784559547535723,8.03399384591616,6.380101709822558,6.1411543987318575,4.7317245840789495,8.160323120510226,6.664515619690494,5.993218213402453,6.5046302907952365,6.9920277411100376
