,YBR035C,YBR249C,YDL014W,YDR063W,YDR064W,YDR353W,YDR382W,YDR408C,YDR427W,YDR533C,YEL021W,YER012W,YER081W,YER091C,YGR175C,YIL022W,YIL125W,YIL155C,YJL001W,YJL012C,YJL066C,YJL217W,YJR109C,YKL067W,YLL050C,YLR044C,YLR180W,YLR438W,YMR120C,YMR297W,YNL112W,YNL134C,YNL209W,YNR021W,YOR007C,YOR184W,YOR198C,YOR259C,YOR374W,YPL262W
YCR073C,4.170168254752493,7.355733059571454,5.442129350556517,5.5393769851577686,9.4047820423337,6.9649246411430665,8.55656010599876,2.8602825659232933,4.723088338068764,6.399136291890256,5.003858768336558,5.940502944619019,6.6357619051513135,9.95501490877206,5.462967289948352,5.451377389820286,5.708351424383558,4.730645685792665,6.273671129586941,5.392874622896347,4.407667418407079,5.541417636445301,6.7752635528791725,7.569782907970487,8.742811378490435,10.303536822556742,7.49950143912384,2.702624978091287,7.232829369269893,5.914153802041635,5.302039139216419,5.342428226051728,8.479402735584532,5.459151431502086,6.723328098747591,7.4003464701171255,6.659009666304869,4.758403828089034,6.941630928494861,6.991802879458172
YDL025C,3.7228870477964233,7.427868138863137,5.535245457317012,5.07533976557894,8.865767650645491,6.957087476921013,8.646787996661718,2.803210976970731,4.371489314250084,5.905221896198411,4.9466880146638,5.977580829823563,7.008356433542766,10.133007300123527,5.680988660089893,4.735244019464708,5.968483587791848,4.1357534796081366,6.108387330898743,5.5086760956570116,4.106783555061144,6.12479010077492,6.904852900401624,7.141826503016425,8.136867766348914,10.43599504984785,7.8047874669370305,3.182598531538213,7.854295127473638,4.635315689971843,5.434379026810694,5.2434243622545536,8.759017814382991,4.652725851537124,6.278069701885644,7.3168222453548895,6.4268299440147425,3.4675946832814164,6.574895542784734,6.866262103195669
YDL079C,3.951868493707986,7.584490193113639,6.2404893819410505,5.202997658250526,9.104688470997688,7.039271043109379,8.021526448231983,3.000686390272278,4.769519372946849,5.71937536496716,5.391744435925566,6.1839899954334046,6.8948835336860546,9.895165571806833,4.9448210083979,5.410297281276377,5.8627246379604205,4.6356810774989645,6.152551371562308,5.163450497030159,4.240716908543448,5.438679778864869,7.043829902644111,7.424103292458938,8.252700664162328,10.197238749113447,8.095355066650322,3.575313965394552,8.069696636820115,5.4648915817523935,5.588082737170278,5.4247499435782975,8.325919722794287,5.520966329159871,6.241836101412081,7.400938512668699,6.4644377524107455,4.9849811094875065,6.922774236741946,6.742580598608076
YDL159W,4.2364907022479015,7.928579553600737,6.516900274880017,4.7432214742951535,8.509007278118581,7.1908820290145,8.664254614121662,3.9711019895925186,4.808943119108321,6.1481364890743855,5.378155858421666,6.203006172368479,7.543437670288353,9.703707024382648,6.612493923911015,5.372997089552501,5.911878344771124,4.438425209691852,6.705259738301105,4.9959263914308165,3.9853665100459934,6.515920170955961,7.504321851870756,7.38183193808015,8.174924678697357,10.069168707840738,8.015337431361118,3.943482329884597,8.102343329528079,5.447423926603818,5.712021463639298,6.178982710070816,8.439609815875718,4.5310566786586035,6.320750289010272,7.5898415793363085,7.02366398857853,4.830640189070176,6.547014525437019,6.9960804707942446
YDL214C,3.9047511230896825,7.540453374085081,6.422982747884985,4.744302489600287,9.227998907174113,6.987129512067362,8.541691613355468,3.173279448722372,4.443874858400493,5.92335299218961,5.3658549692734185,6.204777784915152,7.110444968189308,9.853373269790216,4.801416794150897,5.237285225597085,5.384363245924627,4.022669720194048,6.314873593148834,5.29438997975369,4.028305078911621,5.403277063229108,7.127264980786822,7.090275351073557,8.320530524316279,10.26758175259251,8.297798552521161,2.4080892564870977,8.213136576674652,5.605020307720553,5.781184947299153,5.34090539472887,8.329814933756348,5.483250676740674,6.296080209199044,7.563094088148684,6.430727250476041,4.7680168687937785,6.426504529544631,7.9451918086754425
YDR122W,4.294728991066966,7.580468052444044,6.957681819359733,5.214944409257108,8.936948259180982,7.431008516443759,8.845475617933383,5.08261186399768,5.0755565462103425,6.220690323539762,5.644924276776742,6.400802726517986,7.252186013883437,9.466336324208424,5.7480821294378925,4.94496268394754,5.808021790107901,4.190846119361608,6.571782437487617,5.549439301284477,4.0144921697876415,5.688936052085048,7.2452196153610275,7.396897568930807,8.002168486554256,10.007379181416693,8.079142701427772,4.178271785756296,7.897939784669317,5.4677243878933535,5.807935526078544,6.0967956969083525,8.153758013936889,2.9786367427115974,6.35367599307107,7.603347505586004,7.267084590502535,5.170456926215858,6.268866917006638,7.089469370835983
YDR247W,4.213572520203046,7.807245671522767,6.921194104557081,5.169657495328437,8.667410178495821,7.2868310501928075,8.43413331919999,4.50236601801616,4.717137005886705,5.958958901490432,5.582945420449128,6.129293857059009,7.170125970797987,9.49680016355492,5.5697774396462485,6.029169752138662,5.606812616529059,4.1185899936584995,6.674633701202849,5.373930988110905,4.478401132747765,5.928305673345957,7.26707351098635,7.197463072297901,8.241882338068171,9.926671489083242,8.22113125757067,4.310407827565109,8.173279985196194,5.434140587024438,5.788641149968001,5.447804398209853,8.415619047570555,4.086969296430708,6.577846701371254,7.369132566061181,6.872423276942074,4.993258989234254,6.627880662685746,7.157788748010327
YDR283C,3.6289783225241576,7.503446602694115,6.835595423943218,5.209092389713092,8.835882886279672,7.1077926577506405,8.817757373292611,3.763022348050258,5.160035067138393,6.032788131357437,5.176141717673947,5.841343933012001,7.35680117252201,9.936093379388787,5.9738605087991274,5.442071318138906,5.685547534317025,4.38527228549393,7.709123842602508,5.673086783020191,3.857688378763647,5.306556961409584,7.362433658541651,7.288165174019736,7.566714280757256,10.05042062368402,8.167979669422992,3.6248664286082684,8.425963577367526,5.302711178451039,5.62253876393499,4.896801325783008,8.395765380902981,4.9376398768412635,6.733462522132857,7.337171929457438,6.672272538752992,5.0453382497674575,6.142125516285035,6.894522663300951
YDR466W,3.9440758706804178,7.756328025451943,6.426150373436593,5.463505900969023,8.840174104157054,7.521748384811412,9.131017264878762,3.781768571811409,5.030911119580722,6.2494268422395765,5.541920058375312,5.999432748434639,6.620219654138162,9.924248128628914,5.470592138727076,5.381614158211385,6.049178215180035,4.3459787777257235,6.4306675757740885,4.791219256344434,4.371170064956703,4.583329861051633,7.125110450019535,7.86200093877556,8.9789214869091,9.755345177379194,8.012031576352426,4.238591962063954,8.119284314550814,6.313540446922415,5.677755124466626,5.811120654619293,8.213940954823698,4.433060834867144,7.575920904649108,7.51533638114357,7.144294952324931,4.917356871586418,7.021626510255118,7.3738261835393315
YDR477W,3.845231560191559,7.484029438704726,5.382233446659132,5.177844861338262,9.269755544374721,6.914592577651045,8.741688871643658,3.232696318004716,5.047138621448932,5.596553416328621,4.593508773996778,6.577128324796692,7.611571838454605,9.982781150054516,6.899561193137249,4.1243933230687775,5.808351333714104,4.536332475236032,6.047987361338173,3.5907680149029693,4.02685379732436,6.0082717546537046,7.274252468908728,7.087427201988933,7.71709612119851,10.163802202766524,7.793407030517407,2.7098646804026543,8.108603560250781,4.616616298502935,5.183322350819355,4.99025183059848,8.453037541548861,4.859403334019678,6.459774577161221,7.323903437110077,6.650773055097687,5.072885221925586,6.426540291194702,6.7324270814723075
