,YAL007C,YBL039C,YBR011C,YBR072W,YBR084W,YCL037C,YDL100C,YDR019C,YDR032C,YDR064W,YDR155C,YDR158W,YDR321W,YDR533C,YFR030W,YGL026C,YGL031C,YGL157W,YHR174W,YIL022W,YIL155C,YJL066C,YJL130C,YJR070C,YKL112W,YLR292C,YLR355C,YLR438W,YML008C,YMR120C,YMR229C,YMR297W,YMR315W,YNL287W,YOR099W,YOR120W,YOR198C,YPL226W,YPL262W,YPR118W
YCR073C,4.703292333119119,5.5503363121158005,9.032165796672595,7.796609380992431,5.084351102932403,5.654803961643232,5.890164710752567,7.325833083927888,7.0981737555030415,9.4047820423337,7.810118868467286,8.223704769558234,6.062957954089033,6.399136291890256,5.36752394454366,6.2887387764646325,7.1979695811423,5.98394761532452,10.474274509265047,5.451377389820286,4.730645685792665,4.407667418407079,7.190835481520718,6.009796123354643,1.9977532342035933,5.399198614194572,9.6043934890532,2.702624978091287,6.574673695272223,7.232829369269893,4.366606016398488,5.914153802041635,4.383657326161946,5.547825721217042,5.493476613865101,5.1074150015523685,6.659009666304869,5.8713421871686124,6.991802879458172,4.472995625540534
YDL025C,4.921173993659139,6.169713339163844,8.553746941587704,7.150829161591957,5.3880803501448575,5.08051817227221,5.799646636201153,7.487945354158567,6.350749265207693,8.865767650645491,7.789432646012457,8.16841611719015,6.111220755891469,5.905221896198411,6.511861308739758,7.1169237500259515,6.665184115468112,6.039251262153632,10.321169372806043,4.735244019464708,4.1357534796081366,4.106783555061144,8.4033566941951,5.7295591464581195,3.08893837008413,5.129130926542791,9.363553353582313,3.182598531538213,6.617128664946402,7.854295127473638,5.310636015003994,4.635315689971843,4.3276224669294825,4.577226835661801,5.680737506809153,5.228307562697768,6.4268299440147425,6.412296740320959,6.866262103195669,4.9791841201911735
YDL079C,4.882615863810278,5.710100765534848,8.861941392619416,7.7639922152705525,5.457022984984486,5.4875846533825845,5.728228615338893,7.205435817382728,6.801147844577991,9.104688470997688,7.967263770923957,8.13335862115188,5.907989090875225,5.71937536496716,5.708516360135878,6.925787784961813,6.747735510931633,6.0508535200137485,10.547825470682724,5.410297281276377,4.6356810774989645,4.240716908543448,7.9950814108760975,5.395614918285303,2.6584411317234795,4.7594354282263005,9.378774548496619,3.575313965394552,6.651562695745922,8.069696636820115,4.754327523550721,5.4648915817523935,4.368503134528061,5.704754342812264,5.659026178913658,4.957559277016181,6.4644377524107455,6.3235885299985695,6.742580598608076,4.3920033795774716
YDL159W,4.955983107939117,5.599899227394676,8.712953200407714,6.479796576110934,5.6920624960352715,5.875022022903408,5.6820521233445564,7.181293062219943,6.823927657712803,8.509007278118581,7.735602444503144,8.166282763116138,5.994660021983497,6.1481364890743855,6.264189639174358,6.855147056906699,7.1707373954196365,5.670076034845611,10.272390379192275,5.372997089552501,4.438425209691852,3.9853665100459934,7.742301370415709,5.4876083073791575,3.0087503639938578,4.420306722288866,9.647169544420157,3.943482329884597,7.207743843897362,8.102343329528079,4.751415895355128,5.447423926603818,3.9254628014667614,5.404865334773297,5.62061938332996,4.95808455103419,7.02366398857853,6.198901378199937,6.9960804707942446,4.523479189267452
YDL214C,4.875950837340858,6.001744174218383,8.855512537492352,7.528225787393173,5.716866606319582,5.616255964129458,5.888016064395892,7.1143158985850015,6.695400850653358,9.227998907174113,7.619130407438184,8.149076216455391,6.092701372768726,5.92335299218961,5.677729892079478,6.698349797185265,6.918951961458591,5.969190704018769,10.66196163010916,5.237285225597085,4.022669720194048,4.028305078911621,7.889102527071228,5.864354201928679,2.406107221117337,4.294806531300116,9.543214622524886,2.4080892564870977,6.8249629246917705,8.213136576674652,4.7981047575705285,5.605020307720553,3.9634193386760406,5.654130173871278,5.6271646251043235,5.029748317446551,6.430727250476041,6.200731009104108,7.9451918086754425,4.613840296474443
YDR122W,5.100019015797835,5.215272959747802,8.672325706529831,8.185678899440418,5.254851379367419,5.578938459242715,5.7694486699856755,7.1511630399780906,6.443396972294416,8.936948259180982,7.475905228561343,7.742549091506917,6.175080382616768,6.220690323539762,6.206010217168883,6.447467675263515,6.636008375967061,6.013089737553705,10.549622208789977,4.94496268394754,4.190846119361608,4.0144921697876415,6.936391453840585,5.704726367892716,3.5057945888037803,4.400273455537604,9.275159951878567,4.178271785756296,7.051016003985076,7.897939784669317,4.4895711235252636,5.4677243878933535,4.878673570716106,5.739369779053407,5.28799779034497,5.39859207316054,7.267084590502535,5.59256277877164,7.089469370835983,4.749516567764816
YDR247W,4.7511753811692925,5.3777359152803825,8.664989261173979,7.7494605407492605,5.46414508667849,6.001756265173617,5.901046424770758,7.590978048493057,6.439296757546357,8.667410178495821,7.843333506977456,7.883936505729716,6.3867260686210345,5.958958901490432,5.725031924762819,6.479271308764868,6.487274379652245,5.765819777055907,10.82432024003585,6.029169752138662,4.1185899936584995,4.478401132747765,7.0360472689435705,6.013092063432503,3.380821481725161,4.682992883160615,9.380666094162574,4.310407827565109,6.764043526423312,8.173279985196194,4.393450025087684,5.434140587024438,4.78945564947313,5.5573930121744715,5.550016547893401,5.2280613835521486,6.872423276942074,5.5659585392042885,7.157788748010327,4.380374184768836
YDR283C,4.748903191771634,5.155607069804075,8.876882784070322,7.473228142222303,5.520227559615048,5.15005638140561,5.0896268792459205,7.4113430459777225,6.223276868935069,8.835882886279672,7.719520988569676,8.134388343835612,5.879131203031436,6.032788131357437,6.657231978263961,6.773783892759481,6.398840277679413,5.614400940804267,10.973494330792143,5.442071318138906,4.38527228549393,3.857688378763647,7.865310222761546,6.003579912195519,2.971391037954592,4.844674090634574,9.300913240549614,3.6248664286082684,6.80900501994604,8.425963577367526,5.037166975134553,5.302711178451039,4.21667456497525,5.754676924619313,5.447618232275847,5.187459546304417,6.672272538752992,6.100287283120728,6.894522663300951,5.010948869637969
YDR466W,4.95898706835824,5.3555644537182205,9.254700013150924,8.829093962357499,5.7127867085895945,5.81829208893945,6.182433826291751,7.1362213805337325,7.305079173885999,8.840174104157054,8.264869981389817,7.972442057263298,6.231979365095644,6.2494268422395765,5.68936401042663,6.0677504581936725,6.76179951251399,6.163733019801534,10.990019527907483,5.381614158211385,4.3459787777257235,4.371170064956703,7.261661772590427,5.9504101935593585,3.9419970408457896,5.1782702819143065,9.599195163562614,4.238591962063954,6.422834963741268,8.119284314550814,4.552717414282922,6.313540446922415,3.8824153728720487,6.246382831782082,4.874740211730648,4.950310268897344,7.144294952324931,6.243996403935619,7.3738261835393315,4.4576015138146845
YDR477W,4.984951351271533,6.061216040506652,8.856765307071068,8.235447442901776,5.212413976117774,4.9653103819727455,5.512090497553551,7.417238108312818,6.432944863838749,9.269755544374721,7.589096392647494,8.142404584675594,5.844698282359059,5.596553416328621,6.3025357851989305,7.016351349497968,6.27902816787668,5.488877155545598,10.761199518733713,4.1243933230687775,4.536332475236032,4.02685379732436,7.973406745192066,5.468446600096673,3.503660915443372,4.976625713727492,9.181493022818438,2.7098646804026543,7.053569468657389,8.108603560250781,5.227355124144078,4.616616298502935,4.494123972740673,5.604822071654033,5.5251571607169945,5.0618863359359,6.650773055097687,6.164150995422283,6.7324270814723075,5.028609448212444
