,YCL009C,YCL037C,YDL084W,YDL092W,YDL131W,YDL195W,YDR037W,YDR091C,YDR127W,YDR158W,YDR174W,YDR382W,YDR516C,YEL024W,YER031C,YFL039C,YGL031C,YGL253W,YGR185C,YHR029C,YHR128W,YIL124W,YJL008C,YJL080C,YJR025C,YJR065C,YKL182W,YKR071C,YLR262C-A,YLR303W,YLR355C,YLR380W,YMR186W,YMR300C,YMR318C,YNL112W,YNL243W,YNL312W,YOL012C,YPL028W
YCR073C,7.217925429762063,5.654803961643232,7.635826541980503,4.312004642195597,8.275485234363325,5.37684928100694,7.549128996841284,6.133885227461297,5.742797993680076,8.223704769558234,4.644214488943812,8.55656010599876,7.106928692357209,5.584366707574185,4.861984060057802,9.3400562490926,7.1979695811423,8.595487819610499,5.444967576943768,4.7585014685457185,6.0131141700788655,5.025997370093293,5.6809528572897126,8.002228916764356,5.38506956066694,6.1897306151080524,7.191803576304549,4.135355967146907,6.4761272956621445,6.6537210974543575,9.6043934890532,4.814532719450504,7.160253235941638,7.159883057536463,6.137199830581745,5.302039139216419,3.606856347043277,5.573990963231656,6.769424044243711,7.3867957489162865
YDL025C,7.529648417168013,5.08051817227221,7.414585462994469,4.390540257611402,8.18337409838775,5.802869390412905,7.392318452890117,6.427078058168519,5.9819266643736855,8.16841611719015,4.884484312296299,8.646787996661718,7.2381545717920925,4.9603342631032685,3.964978546211933,9.061592741661439,6.665184115468112,8.662534279502344,5.463434118589361,5.146391570902023,6.026421907243486,3.9111274523437753,5.785065557575277,8.115949665972696,5.259032084876697,5.918940157758003,8.031198129517549,3.9308620426632817,6.4690798202033015,6.773923555946982,9.363553353582313,5.1529061928142115,7.08545233756526,7.35260121824072,6.4226008792156515,5.434379026810694,3.448967217664639,5.410653989088456,6.837278640994812,7.4431585680947165
YDL079C,7.409147214644665,5.4875846533825845,7.684722049978068,4.2357708621911625,8.04979994994398,5.755574434330264,7.353657969231198,6.233220436003648,6.488316996831716,8.13335862115188,4.560686873871669,8.021526448231983,6.911984357540391,5.585691130262643,4.908563000528403,8.938686483129787,6.747735510931633,8.67385078370276,5.941886411199262,5.029664933442602,6.340668893145826,5.275820608906867,5.56402102073873,8.033587802615216,5.044588526368075,5.97955232762226,7.9160403516749795,4.086575165658896,6.4467702182767965,6.7336696375802445,9.378774548496619,4.538761210975206,7.076112212820146,7.0215852108649575,6.328059553148253,5.588082737170278,3.853822790955717,5.135690662182955,6.708037025420024,7.579096917260394
YDL159W,7.543789532541834,5.875022022903408,7.678523515561881,5.147341268112607,8.289785552446105,5.386979652822753,7.411925299947286,6.135479740815092,5.846588217624585,8.166282763116138,4.630500260028237,8.664254614121662,6.691453020300416,5.4203610860227105,4.4913269361064385,8.637851829334668,7.1707373954196365,8.551033943021412,6.117768587225541,5.664110387049488,6.3943942914387675,4.975030140879516,5.684950085703366,7.818418946331862,5.319824293121448,6.018893840462531,7.435304037054997,4.528448108383562,6.348658270089673,6.786120131223487,9.647169544420157,4.404608620671496,7.263568660647013,7.17040021981929,6.80350229774097,5.712021463639298,3.792594412740277,4.961873211156309,6.8191393420418205,8.019717532746322
YDL214C,7.571842813939456,5.616255964129458,7.382714969791407,4.407623740693985,8.1806396764328,5.174122447635435,7.3939769838313625,6.273296583985252,6.342513935087773,8.149076216455391,4.291786348681171,8.541691613355468,7.019663201504498,5.1226511107256885,4.718329875429381,8.94253452755193,6.918951961458591,8.894935148753309,6.336145887515754,5.4883731400203875,6.4885186013335625,5.1243272225643945,5.788234271703613,8.111369996933322,5.269105798160041,5.7062542821658,7.776797772875298,4.457271141012833,6.663628218107736,6.930589846059807,9.543214622524886,4.556241774677326,7.1048149815505095,7.095838663906374,6.3472432207673135,5.781184947299153,3.829661024928624,5.1306453492638635,6.508670558039869,7.695091807860724
YDR122W,7.765658594739561,5.578938459242715,7.628268227260437,4.327694849851041,8.000552561266035,5.1455939041884085,7.455293032638469,5.879464770795554,5.640940409459916,7.742549091506917,4.760002840541016,8.845475617933383,6.8588512233064876,5.295891378631692,4.4802015661360075,8.927575798152944,6.636008375967061,8.571185857111692,6.296002930973724,5.5614127026912055,6.497692533596956,4.7506424465106,5.647958582010994,7.867333627140055,5.28036970169846,5.95696314970965,7.007213845462737,4.411304232078068,6.579767358000952,6.471840831596174,9.275159951878567,4.983498279771716,7.3186429287946435,7.214573908604207,6.57336756602555,5.807935526078544,3.5482451397130377,4.8445362035350445,7.1881722991186425,7.935971980468517
YDR247W,7.544753689505365,6.001756265173617,7.680052946972634,4.371825974009825,8.040244269926212,4.795643682942902,7.524850775672669,6.214451526459906,6.320318423477751,7.883936505729716,4.522348319316654,8.43413331919999,6.865297879744919,5.168396684106406,4.488615199361349,9.015002508041741,6.487274379652245,8.609915318000152,6.126772751121257,5.469059890423546,6.332083642691224,4.692417644709463,5.817500953077874,7.616150100921187,4.9287867170920725,6.167036899145932,7.0741369837040535,4.497908827916447,6.532129203403822,6.973135832444915,9.380666094162574,4.574047268315429,7.204791267692107,7.205023137879957,6.476989609172915,5.788641149968001,3.140119344691744,4.944329525653106,6.574465094683722,7.903641500000518
YDR283C,7.556516616507713,5.15005638140561,7.475976371514005,4.101629940311983,8.089288355363916,5.5031808240855655,7.6232999429478845,6.5692305798787896,6.0224757754796965,8.134388343835612,4.940803513719488,8.817757373292611,6.845809765677755,5.4524534114326855,4.7632558740359245,8.836862954716224,6.398840277679413,8.827320882064017,6.563288479880593,5.28232340956108,6.4166008987902226,4.929359200603775,5.684432223989005,8.118362345129922,4.765942218933518,5.92983398058046,7.827875256041563,4.5621639190644485,6.490341066725626,6.745170009489215,9.300913240549614,4.971204902888847,7.026833959179581,7.275780724805531,6.161437493435494,5.62253876393499,4.295228794886413,4.920310093233828,6.519964552636187,7.821567967297491
YDR466W,7.504760830381877,5.81829208893945,7.5728910877783475,4.537809251559511,8.322760435532782,6.122843794272669,7.5520415775546015,5.9756917699047785,5.753234403072972,7.972442057263298,4.864647870928604,9.131017264878762,6.802226545540755,6.3667765984052265,5.253909807621449,8.993194123567081,6.76179951251399,8.809639768639503,6.368239378156966,4.953769006820081,6.713762580701323,4.90817196730888,5.3261598797605565,7.227569453371205,5.370844378161402,5.687943221019326,7.283495389915036,4.57329628500752,6.589060600489043,5.965601355883802,9.599195163562614,4.476313535699854,6.938325930767938,7.0857939206370535,6.660273691957936,5.677755124466626,3.613776339707365,5.441682232620538,6.980979246347087,7.915181903710756
YDR477W,7.581577971125796,4.9653103819727455,7.537858356316205,4.369646743715902,8.361704355717741,5.427032834983917,7.572123124557991,6.3472801544143564,5.667683097130017,8.142404584675594,4.9255853054200855,8.741688871643658,6.983175124224566,4.854955560368097,4.299479417508939,9.042753388800808,6.27902816787668,8.781470068019939,6.436419562924244,5.491003153001987,6.169311158463214,4.589292177619045,5.655455144521945,8.100790212137719,5.509665485559268,5.924053728608313,7.765881853047826,4.021438851005911,6.856785469597147,6.7317491409063575,9.181493022818438,5.320184205376491,6.882424729950758,7.4053501907184245,6.4494648278550235,5.183322350819355,4.0993566858847,5.204656773948043,6.8668700899454045,7.773298852479558
