,YAL005C,YAR015W,YBL092W,YBR084W,YCL018W,YDR158W,YDR365C,YDR378C,YDR502C,YER073W,YER094C,YFL037W,YFR009W,YGL009C,YGL062W,YGL253W,YGR130C,YHR007C,YHR020W,YHR068W,YIL094C,YKL001C,YKL210W,YLR061W,YLR075W,YLR153C,YLR229C,YLR244C,YLR314C,YLR448W,YMR105C,YMR146C,YMR229C,YNL255C,YOL061W,YOR198C,YOR261C,YOR298C-A,YOR303W,YPL249C-A
YCR073C,8.86858446983966,7.640485004343589,8.223305552911508,5.084351102932403,8.568194644894904,8.223704769558234,4.418669539081869,6.3715548135220965,8.44158733811507,5.80821463674495,6.293252303484877,7.583582521823177,5.623277867734151,7.462105892350648,5.773131992314387,8.595487819610499,5.0581874726923886,6.076857015648253,6.381444229218976,6.3338751227336045,8.194090791391265,6.691603289223805,6.8703094035311425,6.2084211527477695,8.798358655569887,6.251260492427497,4.2932582434109685,5.686046350151987,6.360369530321517,7.7267739354788425,6.267716176709328,6.829785000505329,4.366606016398488,3.074920929307452,4.918293933374571,6.659009666304869,5.218608185101138,6.359617815547846,6.561211401052666,4.6855201653008285
YDL025C,8.562631193909892,7.412295810959659,9.116087633108283,5.3880803501448575,8.142902201546843,8.16841611719015,4.622542969139285,6.145795137537261,8.665949828610183,5.756055830866369,6.334780426414957,7.590541430202532,6.201229381936478,8.188082309967635,6.348752493714912,8.662534279502344,5.105754428655642,6.380499415394301,6.863802345157348,6.6820560992929465,8.012632946017076,6.2425165556622995,7.291195323601171,6.316435202054281,8.648513698851726,7.011764106078553,4.164923119457926,5.6897448302176645,6.1324002024087765,8.147757498028302,5.550579143599001,6.729209100270772,5.310636015003994,3.9481729020494662,4.623919902659374,6.4268299440147425,4.076408834174078,5.893828910791018,7.015667554155909,4.738656325295653
YDL079C,8.688384523043876,7.792268499279783,8.545824399976405,5.457022984984486,8.531602749554322,8.13335862115188,4.348220663119943,5.982472561123989,8.593701573749032,5.467065308686502,6.326425334430415,7.59821749826766,5.498576886636039,7.753656244126388,5.998349909471477,8.67385078370276,4.843713936801392,6.320753214085702,6.571435178069122,6.5002319131918735,7.904127205573951,6.348264846677599,7.123792494273165,5.923012753996076,8.543327936943532,7.034378312010915,3.9029608142405423,5.4931124280988595,6.0662080748532885,7.6405262353561785,6.005285381281771,6.750023365514267,4.754327523550721,2.5747057403457796,5.003488713473644,6.4644377524107455,4.986159663070119,5.946768098655485,6.747233901313144,4.7405165520668175
YDL159W,8.356915140532283,7.680076964039338,8.340130609865916,5.6920624960352715,8.643822816078663,8.166282763116138,4.332219287601377,6.079750367177633,8.62664640262429,5.727995705451534,6.062791867428926,7.583304236421037,5.526207661620886,7.705403056381072,6.2244209888092685,8.551033943021412,4.463803520871164,6.6420967941432005,6.742470832582653,6.63317186679639,8.094088490156626,6.195552679790888,7.008237717044945,6.4091035095637885,8.337502207411832,7.027087461819041,4.4915630399514725,5.688002328257822,5.972641673755237,7.38634522093436,5.3638654393550755,6.965645270177247,4.751415895355128,3.2619862827912107,4.307323963239677,7.02366398857853,5.28669072263142,6.267963563491236,6.7384945614181175,3.9148671772194095
YDL214C,8.110067880382331,8.015597949599316,8.682341093567544,5.716866606319582,8.146939406466501,8.149076216455391,4.2781160335729655,6.051826142452506,8.702908232892804,5.533973863740694,6.188681053791303,7.533811515690933,5.551368264534409,7.771317393981158,6.126454825865644,8.894935148753309,4.063736831825565,6.507953340681918,6.770060312535048,6.678655376005518,7.9550992295206155,6.464839524350887,7.2586122309091925,5.9699333582928,8.507287539783073,7.2161736633431195,4.3548311261343535,5.59245437092506,5.747661818529908,7.979519416455005,5.05423859428598,6.860382399763088,4.7981047575705285,3.0557892670206113,4.623608127061715,6.430727250476041,5.185993136669987,6.209163847754427,7.135313789359006,4.546891610153203
YDR122W,8.39531333946664,7.668592876148852,8.348809587775277,5.254851379367419,8.910962673468639,7.742549091506917,4.0854894039609215,6.071537465509044,8.47642674129847,5.43489389297318,6.1369449705989885,7.423185510233803,5.3163073767337385,7.259163847122508,5.676794079153327,8.571185857111692,4.484566585617847,6.160919375874728,6.3978162691483496,6.639211911367218,8.169334954864668,6.670592688320088,6.599720761225416,6.540777583625482,8.453093744395026,6.52056686944078,4.613386957548989,5.8341985932358025,6.03655998015062,7.651512636342999,5.447597488353042,6.970145500104308,4.4895711235252636,3.983520355109561,3.5466754446700417,7.267084590502535,6.0984127153335566,6.531863411182418,6.656395329154916,3.9597865179459717
YDR247W,8.421920341997424,7.768965081835981,8.53231927198221,5.46414508667849,8.765621602412285,7.883936505729716,4.0693377209909825,6.0484188009427795,8.307283450531116,5.702528375693755,5.958671179552673,7.68921798516649,5.3846388909474925,7.701015967102046,5.51574659405938,8.609915318000152,4.2509808182843365,6.228604298358379,6.595793211731802,6.3180492490076325,8.084487026816536,6.2171974313941565,6.978794279921732,6.726774242680861,8.197805786211681,6.822361672464273,4.812590976520227,6.006016993368957,6.012976164798352,7.416554249572111,5.468686223676542,6.84170381881351,4.393450025087684,2.9043519069973667,4.534364149638533,6.872423276942074,5.393574995154824,6.363239110148259,6.872165655584644,4.7113742357737545
YDR283C,8.294311637543332,7.80959386401662,8.597419508278787,5.520227559615048,8.527510959259205,8.134388343835612,4.269380557207256,6.211639966911862,8.471792415432496,5.683005930831709,6.33228498245829,7.764669268371807,5.535319096595303,8.006713315865245,6.0365577907598365,8.827320882064017,3.373182884247259,6.503900838788358,6.788352315882987,6.729295559981878,7.91886515113472,6.598968514520253,7.0935495231012435,6.0979745455494285,8.34104997949866,7.000927117200046,4.072012039362861,5.673401177116531,5.907300311223098,7.903176444293188,4.811899930248488,6.608648378995706,5.037166975134553,3.6295475214819657,4.5311778442154695,6.672272538752992,5.14511895538016,5.873488814124019,6.979365156869088,4.538924925983376
YDR466W,8.982794171966761,8.266585004614004,7.6495675514492225,5.7127867085895945,8.986115299707508,7.972442057263298,4.732558041969748,6.61923671591619,8.518517207389415,5.673952057056445,6.301540685235929,8.209289942915765,5.535542620986501,7.368084993102357,5.704238047879733,8.809639768639503,5.314691383337701,6.187297804776441,6.598769980060644,6.516288648717184,7.898388216305598,6.633724076463753,7.2031014981522175,6.1951799858735574,8.617825030332503,6.6842518681785865,3.8447019957611435,5.7688789232745945,6.29874571158201,6.220365608127718,6.366289066852808,6.704012392633401,4.552717414282922,2.972036193827819,4.370453036330785,7.144294952324931,5.512306713020606,6.292574462925532,6.527173236514912,4.474250214635923
YDR477W,8.63151897506987,7.882936763904955,8.816181833662357,5.212413976117774,8.472188240285421,8.142404584675594,4.1523133055434975,6.0320784547589374,8.488959821807152,5.420414736237259,6.206244458496832,7.6648460108007646,6.282641217958791,7.9829112869311105,6.307689510509237,8.781470068019939,3.79913684153134,6.502463932518338,6.798896308509227,6.777867629843088,7.901553644975343,6.482692145943368,7.358516270362191,6.901362643371487,8.396850839427474,7.019794524487921,3.994387798953013,5.426510578487941,6.089437987925487,7.837126952279623,5.373661114255168,6.610791196735116,5.227355124144078,3.818523261349675,4.509592956812791,6.650773055097687,5.127417901629162,6.0100122810452055,7.337150694033357,4.827273529659157
YDR490C,8.772965441903635,7.59648676075916,8.235666465701787,5.450273437014581,8.943028759560722,7.898525169261783,4.114049672805652,6.049711636078071,8.285414897447078,5.388834579787546,6.249755822740473,7.672558643411068,5.431284253713523,7.257333761338111,5.760272491205517,8.32683565134275,4.935239444404964,6.034552003967125,6.129994313084412,6.2388167020969565,8.13350198315747,6.257971708155706,6.872062091789973,6.652545594644966,8.265082185503156,6.56260230433286,4.601263789511312,5.832256443017808,6.25506773471969,7.392778591775688,6.327502977824357,6.754881252987713,4.719983883450759,3.9785270646845032,4.274325123316762,7.078476318951619,5.273328957967818,6.3287743346195935,6.498685151084117,4.478572232696598
YDR523C,8.58838479405482,7.650594964653982,8.345974382287716,4.893858432570352,8.867593391885828,7.93578442482876,3.968472893637116,6.1516136992316,8.345196446759939,5.6640420632412285,6.025770957877605,7.685644549020653,5.430425742217024,7.48793005096595,5.905899192493662,8.488281461294656,4.7458730002352825,5.808601061462497,6.350645516015531,6.667705376230303,8.014214165905774,6.135882343102325,7.118008240771857,6.260072355703706,8.254988532551401,6.809210797184186,4.521508948401602,5.471573503153377,5.907435261921059,7.498635838181332,6.423799033276555,6.879044862008794,4.5802796927383485,3.7903446200696433,4.587113279840345,7.045395432988701,4.746292319144269,6.416838257323589,6.912967667210957,4.912564096854884
