,YBR126C,YCR005C,YDL055C,YDR002W,YDR304C,YDR382W,YDR427W,YDR533C,YEL071W,YFR010W,YGL255W,YGR175C,YGR205W,YHR174W,YIL133C,YJL012C,YKL013C,YKL145W,YKL181W,YLR133W,YLR216C,YLR292C,YLR351C,YML085C,YML092C,YMR031C,YMR131C,YMR215W,YMR307W,YNL209W,YNL216W,YNL255C,YNL312W,YOR204W,YOR259C,YOR362C,YPL262W,YPR024W,YPR036W,YPR069C
YDL079C,7.338060979338932,3.997787224367592,8.33192975957194,6.452834753431313,5.7565874224864295,8.021526448231983,4.769519372946849,5.71937536496716,7.9361736221740875,3.6055453996544338,5.45759907220148,4.9448210083979,4.6124493480611966,10.547825470682724,7.884021408894467,5.163450497030159,4.943146514351258,5.927087917838809,2.9733345469530645,4.995786292628899,4.925250627650969,4.7594354282263005,6.002336997498943,6.544298774704914,5.402217202289384,5.3708590314591245,3.860640794165011,4.589589304548244,7.1383095997501025,8.325919722794287,4.568976913812309,2.5747057403457796,5.135690662182955,6.6180153411188005,4.9849811094875065,6.0085714465661875,6.742580598608076,4.677969618430347,6.621879344722817,7.745211812464862
YDL159W,6.987963006641344,5.019657025517156,8.331970951783184,6.1511364581743475,5.8660308513833295,8.664254614121662,4.808943119108321,6.1481364890743855,8.775427857865994,4.511355692573964,5.699136661208942,6.612493923911015,5.056861716926208,10.272390379192275,7.6283432693854865,4.9959263914308165,4.978526768182558,6.242713942347388,3.4975519103737835,4.470047312520687,5.078137253784059,4.420306722288866,5.911521911059282,6.7564025883595455,5.509449539003144,4.9892471934519245,4.074287624299656,4.488766729575434,7.0381715517071335,8.439609815875718,4.450967606232288,3.2619862827912107,4.961873211156309,6.499057106888762,4.830640189070176,6.078553355370582,6.9960804707942446,4.912158689220464,6.356496663029107,7.485889730123169
YDL214C,6.7890578474530665,3.9801203949809416,8.381726626340955,6.271039911941433,5.715078529996332,8.541691613355468,4.443874858400493,5.92335299218961,8.234560809658806,3.705246787082469,6.045956317641183,4.801416794150897,4.268595808109192,10.66196163010916,7.894982179630571,5.29438997975369,4.497159280374271,6.279780295007293,2.7298658155975195,5.013655159444329,4.979085368007269,4.294806531300116,6.033521102938689,6.471774221189687,5.537376835711403,4.817695602530406,3.843488756464121,4.52922872262401,7.0747277032924805,8.329814933756348,4.124035112997522,3.0557892670206113,5.1306453492638635,6.734644262200545,4.7680168687937785,6.092592224913975,7.9451918086754425,4.586251755564287,6.602362911936675,7.85753244835767
YDR122W,6.453957884686584,4.8735481856374605,8.351039438236196,6.636014171358728,6.5471674230495855,8.845475617933383,5.0755565462103425,6.220690323539762,8.431852155657232,3.740635842634938,4.820783733585698,5.7480821294378925,4.316304725619556,10.549622208789977,7.4918177999778575,5.549439301284477,5.418153186776069,6.397072278108965,3.7348298264473683,4.369815118586291,4.920650435573168,4.400273455537604,6.0697981745633935,6.897255009985763,5.403917121215593,4.782622071599033,4.4642891426944855,4.241411209246779,6.943086574578032,8.153758013936889,4.630976605086048,3.983520355109561,4.8445362035350445,6.569088692135806,5.170456926215858,5.306040139625123,7.089469370835983,4.455633298083306,6.5380641311950365,7.687476776589943
YDR247W,6.853487803415997,4.66494452508295,8.354798479947512,6.413004883963794,6.509779578543937,8.43413331919999,4.717137005886705,5.958958901490432,8.191008513839378,4.399955932856409,5.218312786012255,5.5697774396462485,4.4561829473835015,10.82432024003585,7.044498687640232,5.373930988110905,4.953038789305238,6.248297650582418,3.9960703281684213,4.426616897357006,4.721733460780524,4.682992883160615,6.3101818692652305,6.786635038938576,5.639246342545439,4.856330300591092,4.241913885763768,4.504605761412944,6.296704040004585,8.415619047570555,4.055725705728293,2.9043519069973667,4.944329525653106,6.498953488877975,4.993258989234254,5.975302465674957,7.157788748010327,4.4535410734854,6.3038685596997714,7.670183026790379
YDR283C,6.697199287295632,3.714215302654746,8.195998330838059,6.479368768086921,5.738356616425022,8.817757373292611,5.160035067138393,6.032788131357437,8.134927263620614,4.092028120569719,6.064034255553574,5.9738605087991274,4.162069820258277,10.973494330792143,7.400717990561232,5.673086783020191,4.8824381247478605,6.16309370358082,2.8559162621324314,4.4489453161607875,4.705201060340783,4.844674090634574,6.006874761951663,6.446794154228411,5.276232960901766,5.065762723663252,4.195282863796197,4.130188355382226,6.924265403861318,8.395765380902981,4.05486615764673,3.6295475214819657,4.920310093233828,6.550064300329843,5.0453382497674575,5.6934334330032685,6.894522663300951,4.800486431158512,6.781376143942811,7.648363459833655
YDR466W,7.325598693801483,4.057626300555398,8.344857895094862,6.283431113239286,6.755782621378112,9.131017264878762,5.030911119580722,6.2494268422395765,7.733683951216781,3.922326531661176,4.566535585676491,5.470592138727076,5.074308984426239,10.990019527907483,6.699805402006283,4.791219256344434,5.471216595681028,6.628272532872058,3.5011405185358964,5.29035676359156,5.317374678670758,5.1782702819143065,6.136348682734576,7.375551586915733,5.625205844028999,5.1490881786523035,4.115729701036615,5.3324660392468335,7.6107937930985745,8.213940954823698,4.726087707164067,2.972036193827819,5.441682232620538,6.396800424676982,4.917356871586418,6.2102974772158825,7.3738261835393315,4.365503784348285,6.732468934694525,7.81203187088711
YDR477W,6.607743213767821,4.230253941821221,8.373787369270499,5.995402749042668,4.630750853080743,8.741688871643658,5.047138621448932,5.596553416328621,8.355478052136002,4.302154898614739,4.946838621534349,6.899561193137249,4.6203705796762335,10.761199518733713,8.028841964527727,3.5907680149029693,4.714852646488895,5.938119097124509,1.9460906994888336,4.442885018771613,4.705199447108116,4.976625713727492,6.001636962914463,6.074203357517936,4.974023233756596,5.191705764519754,4.0257744415425645,4.5328591434685945,7.254687975436728,8.453037541548861,4.375506860225413,3.818523261349675,5.204656773948043,6.5866232926165535,5.072885221925586,5.3590194659055275,6.7324270814723075,4.845364425779491,6.653752931809662,7.221618149950035
YDR490C,6.861635410893254,4.3650143231983085,8.394552297550442,6.716805688801617,6.685282844396576,8.717846210873736,5.071321525329238,6.447241198574539,8.13247748602536,4.163898822808247,4.317007848747523,6.189120620967418,4.888471199557679,10.299564387463997,7.120902553933947,4.851851568107199,5.4201024887402856,6.140212733961022,4.11039329483431,4.140434074677203,4.819288278240975,4.530681687699675,6.050029556777991,6.896863912237787,5.640642817641253,5.347335715422323,4.4723261319938565,4.564186652739943,7.160870808993727,8.185244740717069,4.3742553753948235,3.9785270646845032,5.318178531453781,6.432182995999353,5.235794904930447,5.189100299556167,7.031515241367639,4.502613066812068,6.567422421703912,7.566921895468707
YDR523C,7.036015162168104,4.838388085492854,8.423220716491352,6.449208005735773,6.357433816130063,8.770316943315423,4.872633327558899,6.190988506612303,8.413348764760848,5.773060206987273,4.946874015770644,6.4688410963067815,4.909483604658142,10.317398034031957,7.358043140290214,5.136581269603509,5.167118193283259,6.279335515570352,3.2433901365496736,4.2932713828977205,5.042826814209133,4.660410992303905,6.1034727126974415,7.063524960633643,5.711860488134064,5.401488611845803,4.214875343263752,4.260851130243924,6.915262740873659,8.268344815349367,4.6830609634221885,3.7903446200696433,5.078898004243794,6.469134434506497,5.5470164133166895,5.547638197159836,7.111784884319272,4.765077555090763,6.5939161818291225,7.460366434565987
