,YAL012W,YBR011C,YBR084W,YBR111C,YBR154C,YCR002C,YDL182W,YDR064W,YDR533C,YER012W,YER052C,YER089C,YFL018C,YGL048C,YGL062W,YGL255W,YGR061C,YGR086C,YGR204W,YGR240C,YGR254W,YHR027C,YHR042W,YJL001W,YJL172W,YJL217W,YJR109C,YKL067W,YKL112W,YLR061W,YLR314C,YLR359W,YML008C,YMR099C,YMR186W,YNR016C,YOL151W,YOR007C,YOR259C,YPL262W
YCR073C,8.936913647056754,9.032165796672595,5.084351102932403,5.548230761959977,3.567056981883657,5.91354225473745,8.206865026829254,9.4047820423337,6.399136291890256,5.940502944619019,6.731831468570044,5.9940853667161536,6.545778415261557,5.6929702653530265,5.773131992314387,4.581323890593581,6.890140576670091,8.255917465104588,7.668066822505418,7.355960966021348,9.856004796760878,5.901357526007534,6.178794570543653,6.273671129586941,9.005713065596387,5.541417636445301,6.7752635528791725,7.569782907970487,1.9977532342035933,6.2084211527477695,6.360369530321517,6.825781487092778,6.574673695272223,5.577034281588189,7.160253235941638,6.668429335847622,6.046464737253134,6.723328098747591,4.758403828089034,6.991802879458172
YDL025C,8.629262435965867,8.553746941587704,5.3880803501448575,5.1694585846842775,3.5809605901831265,6.088092245028441,7.933492354945427,8.865767650645491,5.905221896198411,5.977580829823563,6.761242260846645,5.944640356024842,6.908035792577821,5.536527028823744,6.348752493714912,6.432957263390263,7.479413659292416,7.503334677822722,8.2562225077729,7.705065957945028,9.605279959964786,5.627276453488563,5.8993677301419165,6.108387330898743,9.259223101506267,6.12479010077492,6.904852900401624,7.141826503016425,3.08893837008413,6.316435202054281,6.1324002024087765,6.934643473099944,6.617128664946402,5.367042708527452,7.08545233756526,7.812144319842884,5.6273986777483165,6.278069701885644,3.4675946832814164,6.866262103195669
YDL079C,8.776578869388294,8.861941392619416,5.457022984984486,5.3847131307345215,3.5247496258971203,5.865451406748713,8.029769850033771,9.104688470997688,5.71937536496716,6.1839899954334046,6.721879298305888,5.809958809661845,6.600132849370789,5.591432723790266,5.998349909471477,5.45759907220148,7.131199210179702,8.003966334653528,7.978718453463506,7.5424418871594785,9.574105201436648,5.961018054260813,6.364121827495635,6.152551371562308,8.75488286870659,5.438679778864869,7.043829902644111,7.424103292458938,2.6584411317234795,5.923012753996076,6.0662080748532885,6.76282295583733,6.651562695745922,5.715044318187081,7.076112212820146,7.449195923019199,5.719116062049527,6.241836101412081,4.9849811094875065,6.742580598608076
YDL159W,8.830288485085914,8.712953200407714,5.6920624960352715,5.148069683954488,3.4895222453223727,5.770335678331226,8.242812361368593,8.509007278118581,6.1481364890743855,6.203006172368479,6.9736830172201705,5.913795690320482,6.4921080872352945,5.870752868842969,6.2244209888092685,5.699136661208942,7.324785354625361,7.78684111097655,8.158828395820118,7.528284422409638,9.779720793672922,5.912373339806626,6.726433634440467,6.705259738301105,8.392908702664785,6.515920170955961,7.504321851870756,7.38183193808015,3.0087503639938578,6.4091035095637885,5.972641673755237,6.907649218522952,7.207743843897362,5.869702636420723,7.263568660647013,7.0606268367633085,5.811738002316942,6.320750289010272,4.830640189070176,6.9960804707942446
YDL214C,9.072785620627076,8.855512537492352,5.716866606319582,5.3882195598514535,4.474615264012879,5.818183848681125,7.983449323199368,9.227998907174113,5.92335299218961,6.204777784915152,6.88951594958633,5.568177487639197,6.329156659811107,5.660795584927636,6.126454825865644,6.045956317641183,7.0574538257076815,7.728031302192902,7.959913377333568,7.619752537653338,9.409360724606453,5.990824058341622,6.334707027494317,6.314873593148834,9.067246631487443,5.403277063229108,7.127264980786822,7.090275351073557,2.406107221117337,5.9699333582928,5.747661818529908,6.869970992747793,6.8249629246917705,5.631720285466086,7.1048149815505095,7.253301058968697,5.831069746109133,6.296080209199044,4.7680168687937785,7.9451918086754425
YDR122W,8.650396829053005,8.672325706529831,5.254851379367419,5.464644521169939,3.7448058697418563,5.52424616279114,8.082466843655562,8.936948259180982,6.220690323539762,6.400802726517986,6.617706908667773,5.80672669019453,6.172495750808268,5.958041739256688,5.676794079153327,4.820783733585698,6.859329039939495,8.063407036161482,7.605589768600475,7.168022486994888,9.626867849554746,6.056621735025635,6.498907180833459,6.571782437487617,8.974008818091322,5.688936052085048,7.2452196153610275,7.396897568930807,3.5057945888037803,6.540777583625482,6.03655998015062,6.997846645868133,7.051016003985076,5.853279132842629,7.3186429287946435,6.675559157556688,6.029052514162756,6.35367599307107,5.170456926215858,7.089469370835983
YDR247W,9.014188048891004,8.664989261173979,5.46414508667849,5.257018927298866,4.085579349723719,5.736369964075723,7.984134128627557,8.667410178495821,5.958958901490432,6.129293857059009,6.742942381803379,6.008138613024764,6.546227489218495,5.95175591879791,5.51574659405938,5.218312786012255,7.0860137160528485,7.996984366139479,7.909601872076994,7.255328423814614,9.51574312895331,5.894633993656901,6.311545950158419,6.674633701202849,8.643033028909594,5.928305673345957,7.26707351098635,7.197463072297901,3.380821481725161,6.726774242680861,6.012976164798352,6.818896652119721,6.764043526423312,5.708403602518457,7.204791267692107,6.5842386547010765,5.283265491616647,6.577846701371254,4.993258989234254,7.157788748010327
YDR283C,8.834787224409547,8.876882784070322,5.520227559615048,4.804070557657977,3.9281727778524793,5.865322081746924,8.00295285311094,8.835882886279672,6.032788131357437,5.841343933012001,6.8549829627733265,5.9613609615344325,6.690566793717803,5.684901850089158,6.0365577907598365,6.064034255553574,7.4186345334477695,7.969685164500897,8.099262630147994,7.68747732973984,9.521528565375071,5.985685222042467,6.351365080043345,7.709123842602508,9.006493980207605,5.306556961409584,7.362433658541651,7.288165174019736,2.971391037954592,6.0979745455494285,5.907300311223098,7.065604597111252,6.80900501994604,5.623223536351618,7.026833959179581,7.539315218200453,5.401479776158726,6.733462522132857,5.0453382497674575,6.894522663300951
YDR466W,9.185189637695293,9.254700013150924,5.7127867085895945,5.201721824773363,2.8563456425461866,5.2770281332253095,8.053172914981156,8.840174104157054,6.2494268422395765,5.999432748434639,6.609851274174424,6.401964288914202,5.794544377413915,5.550980457377267,5.704238047879733,4.566535585676491,7.287243118194383,8.80202200302177,7.802708451614974,7.62608869825636,10.111339909967556,6.310609642074912,6.7418921520805,6.4306675757740885,9.146269184660703,4.583329861051633,7.125110450019535,7.86200093877556,3.9419970408457896,6.1951799858735574,6.29874571158201,6.848998655672108,6.422834963741268,4.797891063599376,6.938325930767938,7.4516086163507165,5.9700865878892335,7.575920904649108,4.917356871586418,7.3738261835393315
YDR477W,8.744659596648662,8.856765307071068,5.212413976117774,5.1132463413348646,3.3494784960426034,5.8208893087326325,8.245374445221527,9.269755544374721,5.596553416328621,6.577128324796692,6.8900452707552935,5.686138416433674,6.668672576400229,5.5780830412722775,6.307689510509237,4.946838621534349,7.441859339644099,7.562393040877508,8.150535307427043,7.5392013851719915,9.315421631165142,5.663642674131175,6.039364233077348,6.047987361338173,9.029750825450146,6.0082717546537046,7.274252468908728,7.087427201988933,3.503660915443372,6.901362643371487,6.089437987925487,7.048040310382639,7.053569468657389,5.2672062350589135,6.882424729950758,7.557895632348473,5.345261793414467,6.459774577161221,5.072885221925586,6.7324270814723075
YDR490C,8.494230740263296,8.674847059948059,5.450273437014581,5.386726787953659,3.5863570897439785,5.864931936072365,7.925630652095742,8.682977940437256,6.447241198574539,6.326287430912452,6.403581351916585,6.065895071677092,6.29232430319554,6.070314662911607,5.760272491205517,4.317007848747523,6.986795106224974,8.340389943023062,7.808485092117455,7.254829701365957,9.676376736227862,6.033141606465316,6.524771865350427,6.49295338315261,8.935199849426551,5.624530843677723,7.147347806751545,7.732707810759897,3.7384958831999215,6.652545594644966,6.25506773471969,6.810705673797332,7.061775845063512,5.65780651539496,7.1388690946797135,6.936141216179348,6.247980311508317,6.334648656321558,5.235794904930447,7.031515241367639
YDR523C,8.390695152829526,8.649667378547328,4.893858432570352,4.965499880853608,4.228593892932278,5.945695492817285,8.026017602667249,8.289776800075753,6.190988506612303,6.0931244610259565,6.81345499874084,6.000779018141136,6.615215185591143,6.062513675749242,5.905899192493662,4.946874015770644,7.1760668246618255,7.993583664979483,7.798997068232597,7.365699611175701,9.819362799370186,6.107743548489168,6.708917256417704,6.746910986703286,8.728186146838473,6.422746777222465,7.42072560748265,7.5364040542181865,2.1156284672552146,6.260072355703706,5.907435261921059,6.782619921754018,7.1332587276230885,5.906675061798534,7.156453151944434,6.940018442144518,5.7075765896036215,6.255867271209742,5.5470164133166895,7.111784884319272
