,YBL045C,YBL076C,YBR085C-A,YBR177C,YCL009C,YDR298C,YEL071W,YFR053C,YGL087C,YGL255W,YGR034W,YGR148C,YGR175C,YGR205W,YGR210C,YIL043C,YJL178C,YJR109C,YKL085W,YKL145W,YKL216W,YLR075W,YLR179C,YLR216C,YLR249W,YLR292C,YLR325C,YML078W,YMR110C,YMR131C,YMR215W,YMR309C,YNL231C,YNL255C,YOR095C,YOR222W,YOR285W,YPL143W,YPL262W,YPR163C
YCR073C,7.502960735322193,6.720237637985543,4.241348806078937,6.321501967689576,7.217925429762063,6.544570755393324,7.972905447730124,7.255171567518988,3.6214325454324783,4.581323890593581,7.037639701466647,6.175873430662048,5.462967289948352,4.633324238601707,3.7285172270522167,4.219825309603818,4.951600104041304,6.7752635528791725,7.3854247949008505,6.421085411568054,6.1869908136882055,8.798358655569887,7.766367704440053,5.206676409374512,8.685051630221439,5.399198614194572,8.877143106556531,6.715727452043562,4.790070871212184,3.5158586048341243,4.665039865401647,6.528966815505245,5.490120576256313,3.074920929307452,4.893217577930352,6.1596571566665945,5.291141554001007,4.523495101073267,6.991802879458172,6.496432308618085
YDL025C,7.088741894569893,6.935990115110023,4.018828824722919,5.656807682590653,7.529648417168013,4.93966387329708,7.951897423630787,5.484749324474817,3.0218673720584848,6.432957263390263,6.518111890369793,6.148123842977438,5.680988660089893,3.950634247786013,3.5520397187303665,4.425854480920503,4.624483721463046,6.904852900401624,6.5095924047796005,5.903321503966584,6.092148909996573,8.648513698851726,7.8941096050349175,4.834007377026109,8.979695641690924,5.129130926542791,9.202841238409654,6.356856397398599,3.8210224368957295,4.124443734774414,4.540386768526977,6.1097913235010495,5.1926905762702775,3.9481729020494662,4.4977878806382,6.004453721579923,5.129110358660834,4.606028835255389,6.866262103195669,6.416242678922532
YDL079C,7.22795203196422,6.982610470311476,4.0006843894651185,6.225867979521609,7.409147214644665,5.3235195406082365,7.9361736221740875,7.217500600254612,3.7549061382703286,5.45759907220148,6.663359730767622,5.9408203713859775,4.9448210083979,4.6124493480611966,4.515590169033203,5.475700874686988,5.019210151048289,7.043829902644111,7.158732292341042,5.927087917838809,6.100301797080977,8.543327936943532,7.6870769051410175,4.925250627650969,8.776341224368172,4.7594354282263005,8.538146678156071,6.356437747299111,3.7743410935732817,3.860640794165011,4.589589304548244,6.373976149836166,5.477225496894517,2.5747057403457796,4.6586249679987075,5.882627277422223,6.048426207967832,4.3407842740340365,6.742580598608076,6.611623222425848
YDL159W,7.0796255784402815,6.956172891407737,4.7101051497612145,6.132743412208967,7.543789532541834,5.5155435280424765,8.775427857865994,6.358456678822884,4.336930152321652,5.699136661208942,6.595418231678663,6.337346292658836,6.612493923911015,5.056861716926208,4.204710999605764,5.230425823309738,5.0571391272907285,7.504321851870756,6.893947489736326,6.242713942347388,6.295006673206452,8.337502207411832,7.750567660950332,5.078137253784059,8.791527703904151,4.420306722288866,8.271682931392915,6.414044795741148,4.2153100702010935,4.074287624299656,4.488766729575434,6.268155718161387,5.484249532581002,3.2619862827912107,4.614368898898904,5.507093336714269,5.7964952146288,5.050818727101149,6.9960804707942446,6.729569616862973
YDL214C,6.831531028584322,6.929472572182567,3.80289379036478,6.09631651316772,7.571842813939456,6.202388229353313,8.234560809658806,6.950245626693125,4.556729956812978,6.045956317641183,6.765747569974956,6.280452413087406,4.801416794150897,4.268595808109192,4.4098121782234,4.510772641593123,5.056083445255871,7.127264980786822,6.805193377065162,6.279780295007293,5.968304646401175,8.507287539783073,7.981232179607082,4.979085368007269,8.618896093388603,4.294806531300116,9.771642872400443,6.446603408297718,3.6825393231318837,3.843488756464121,4.52922872262401,6.399450200204631,5.350696595517432,3.0557892670206113,4.860797905308557,6.401800550385383,5.919925988137566,4.3779357790394835,7.9451918086754425,6.634872912270094
YDR122W,6.949032871509362,6.269312356525568,5.157703452838078,5.8215845981218814,7.765658594739561,5.484471600556028,8.431852155657232,5.964923907165852,5.0604498029710285,4.820783733585698,6.383855997141232,6.276481285190814,5.7480821294378925,4.316304725619556,4.7164242481671135,5.896949067477903,4.8889166531889146,7.2452196153610275,6.642531437946374,6.397072278108965,6.0393013806570375,8.453093744395026,7.665705593258965,4.920650435573168,8.241962085239875,4.400273455537604,8.140099946769817,6.43992462064008,4.175436955449226,4.4642891426944855,4.241411209246779,6.124104803298888,5.1850729238650874,3.983520355109561,4.1931204517979985,5.837095225735418,6.5327641815517925,5.0930577227141605,7.089469370835983,6.483975613933088
YDR247W,6.9004727614319075,6.611244811400413,4.399543732796267,5.7075659497973,7.544753689505365,5.466398564848308,8.191008513839378,6.653857713133607,4.944596098707064,5.218312786012255,6.068255618465635,6.307768800006869,5.5697774396462485,4.4561829473835015,4.736207061284313,6.02498953711658,4.987175703665219,7.26707351098635,6.769399576614591,6.248297650582418,5.8411326195500735,8.197805786211681,7.6932590380710595,4.721733460780524,8.55404684218232,4.682992883160615,8.167043063651168,6.435246889633228,3.922750639709873,4.241913885763768,4.504605761412944,5.991533681248704,5.345318146693543,2.9043519069973667,4.452041729790123,5.6636206289859805,6.369024249374287,4.975742536048676,7.157788748010327,6.790102646080742
YDR283C,6.939678073138068,7.062821048887512,4.723351850033682,5.569921484585418,7.556516616507713,5.200146721061713,8.134927263620614,6.494661576246022,3.233455613138005,6.064034255553574,6.160279271807654,6.131350616706477,5.9738605087991274,4.162069820258277,4.854155524869233,4.867513348516345,4.718642301123125,7.362433658541651,6.745558332756858,6.16309370358082,5.924074036703877,8.34104997949866,7.547574590794394,4.705201060340783,8.839505662116075,4.844674090634574,9.012428733537677,6.276044234105518,4.010908083804683,4.195282863796197,4.130188355382226,6.383697497798525,5.3175082871738875,3.6295475214819657,4.702677810953729,5.857399299921916,5.749604348543444,4.64563022956777,6.894522663300951,6.632888049679191
YDR466W,7.3726215304022995,7.222604904885303,4.870399807894942,6.304721704749267,7.504760830381877,6.8818884589210185,7.733683951216781,7.660320065830457,5.041917602745006,4.566535585676491,6.526874900993709,6.092689846467969,5.470592138727076,5.074308984426239,4.90007717334632,5.433717298405186,5.1092587960028855,7.125110450019535,7.8556722281027636,6.628272532872058,6.192043119818813,8.617825030332503,8.202870368937761,5.317374678670758,8.463072371840587,5.1782702819143065,9.558799768843043,6.904677442326409,4.335715173375049,4.115729701036615,5.3324660392468335,5.790107267802496,5.778263555068171,2.972036193827819,5.181557346371746,5.5671229102729365,7.087303789293925,4.221980218565506,7.3738261835393315,6.952083949993362
YDR477W,6.724639906203447,6.9510695280993495,4.291188020153608,5.3787351312194085,7.581577971125796,4.636593455990521,8.355478052136002,7.1886747223305285,3.531988985676845,4.946838621534349,6.181847728496583,6.162244817137243,6.899561193137249,4.6203705796762335,3.5567412429650265,4.645457379567664,4.610935420350741,7.274252468908728,6.2427347037203225,5.938119097124509,5.9341624049221515,8.396850839427474,7.325718002289817,4.705199447108116,8.744354789680404,4.976625713727492,9.504358319778753,6.4834785921221325,4.149805495932614,4.0257744415425645,4.5328591434685945,6.235768577443969,5.200278658394222,3.818523261349675,4.2442014603882905,5.588955434839273,5.454689783924448,4.5464928148711765,6.7324270814723075,6.287492359332229
YDR490C,7.357928069129767,6.278232872186033,5.1833851615660596,5.832296113338,7.559293547105478,5.649659702399768,8.13247748602536,7.136734957718012,4.9653269419643085,4.317007848747523,6.206716961585193,6.2781352806998,6.189120620967418,4.888471199557679,4.821718730795023,5.748162377063283,4.706369432497604,7.147347806751545,7.1256897203513265,6.140212733961022,5.7861202642025935,8.265082185503156,7.538612262033173,4.819288278240975,8.383772517926964,4.530681687699675,8.468712021907114,6.5396830218452635,4.420797248539412,4.4723261319938565,4.564186652739943,5.8495739080197025,5.294374556885557,3.9785270646845032,4.107416510884408,5.716589324428277,6.711633508285004,5.145164361789163,7.031515241367639,6.1745359865465295
YDR523C,6.732072490418433,6.051914362327151,5.377164276047855,5.8461720211084724,7.73888803959033,4.827815848492189,8.413348764760848,7.090355232717032,4.834552475600902,4.946874015770644,6.197594497901991,6.151501269424576,6.4688410963067815,4.909483604658142,3.839478818177733,5.525317969062211,4.890477752906414,7.42072560748265,6.879208738188927,6.279335515570352,5.6792259714639926,8.254988532551401,7.625355006095077,5.042826814209133,8.46542555143724,4.660410992303905,8.269600768790973,6.497588958871341,4.492529212075275,4.214875343263752,4.260851130243924,5.933924879768572,5.368807939529072,3.7903446200696433,4.01071466991716,5.126697293407354,6.5426504024996746,4.862655354499045,7.111784884319272,6.346942401031531
YER129W,7.394142073868648,6.9284395724606895,3.628217855048603,6.412312166941718,7.328224420424268,5.514574226961474,8.260349792448459,6.957630481167183,3.3070223630212117,4.549739926150044,6.822274877443062,6.307807985748839,5.634676922168531,4.5350264649444565,3.5158722046961404,4.074766328390991,5.101536690293812,6.749364510639698,7.229131839221338,6.349762311170281,6.306401269755046,8.776183773602568,7.922510659771992,5.2474238138582905,8.620006368024935,5.395619137701862,9.36221011363839,6.668769244015527,4.115258650079819,3.8592047920228376,4.889597773044934,6.428870006566267,5.602021580126887,3.3808445142497114,4.792678143430617,6.025791774630227,5.778933789837108,4.109163887382152,7.026139079459068,6.687961514093638
YFL033C,7.196036413162368,6.732089147314039,4.363312505675869,5.71289546786376,7.761976549088793,5.0504058206719415,8.031854880377946,6.731676742848535,3.9040838641729234,5.472943097203103,6.054226587727594,6.153574236311692,5.6593650897265375,4.62999705652307,4.1839642595577295,5.245822488174203,4.787443997081279,7.145192353686959,6.904067178787179,6.594811697227706,5.719373187897121,8.372440933324855,7.7864262594620515,4.6654919300087805,8.694918548877526,5.121863196304763,8.46494556201403,6.513145382463051,3.801565492486948,4.138974529406866,4.406213947433644,5.8991993296605445,5.162354816577598,3.8600483246555615,4.254317003712289,6.01415278296608,5.642173656684522,4.4264037339115285,6.689162488351336,6.351883814785615
YFR014C,7.291043042488887,6.41772412932021,3.8198543100900175,6.314904960951368,7.5014753178160465,5.489328586823592,8.212930221689177,6.3861156382682776,4.1601531376181935,5.0838038685392215,6.6934989865302015,6.605238908487742,5.59738643214675,4.132630843238768,4.335561602548088,5.439861611159917,4.9332786572017735,7.091521444282964,6.589266843152824,6.2775582365442375,6.327935777938691,8.308748834409718,7.960160049951763,5.130263377142992,8.66271123397117,4.786534023742858,8.373380921172068,6.666827160121027,3.734348749875713,4.309491624605525,4.563908297488736,6.062859843216375,5.028315080653568,3.1942888166352783,4.1607415574174365,5.89647696068082,5.7285186862458275,4.72496970836283,7.027277650249832,6.830794843432965
YGL021W,7.419614553397193,6.727360313922611,4.634521450833125,6.107615370310812,7.405536978524866,5.972466172943743,7.919856458801802,7.316029452082644,4.738509396499159,4.814852542781268,6.659986199931858,6.687744190583597,5.02225920399474,4.7658918857648045,4.799660156610196,5.43982444090312,5.153928757251497,6.890875170074988,7.126157284706951,6.159828610895548,6.136595821260607,8.798268827308071,7.9374131168433895,5.151563113785648,8.159315920703081,4.8748577359324266,8.450083319402683,6.610687034990042,4.1917580766772105,4.330301021521354,4.860210266323851,6.003290585238446,5.410174576402018,3.54001565142633,4.186657496239971,5.816636857349149,6.467117443497076,4.789295439493628,7.0774952918357075,6.573705778375468
YGL083W,7.159420249170141,6.463786470605093,4.3638606688449295,5.975046751844653,7.454594226034819,5.558947789808001,8.085997648743888,6.282160346167473,4.36985819970447,5.060464821698371,6.511772614855822,6.64506508847392,5.598337748143831,3.8211476646363263,4.173731279522879,5.807008668236129,4.963118453614691,7.100298641110495,6.586618985191178,6.283943136550831,6.1172542995601455,8.469113292541506,7.9257533526987345,5.126101393229753,8.465613068054463,5.0708897591837685,8.138954339850804,6.655242320657961,3.6319772479889,3.75524499808402,4.367342953599319,6.078444932507175,5.110574645963379,3.398534412212053,3.8762005601125065,5.714679533190006,6.065563501796002,4.5308129102680725,6.944612866209764,6.744688016871146
YGL119W,6.995673683869767,6.509261438633198,4.354806944724063,5.788085364189357,7.568656183034091,5.233729290941736,8.1513628807795,7.364369267509082,4.563163871771256,3.7379578522223835,6.032469664065517,6.2501350082877645,5.305428157002672,4.962399117430564,4.6141071440456685,5.587599830921948,4.803408504679545,7.029639343207549,6.833025549935533,6.170344159989659,5.617195692385484,8.423459866273612,7.863322792332478,4.740495834909782,8.36072710592168,5.121050926458428,8.874916087187898,6.536965312727051,3.9904555060280433,4.207042611877776,4.571310966050195,5.8614826275843805,5.373523736900639,3.7905524885823216,4.3056927799306655,5.515645363199169,6.6420169585068605,4.089553370340753,6.838319448076111,6.4963343875810216
YGL158W,7.030515728801283,7.1653343881129095,4.3930138341458465,5.697350042526625,7.603952439419782,5.192405394956128,8.185933233329882,6.138406260238526,3.204907979104166,6.030489968874978,6.207115484765903,6.150662320192473,6.146413844538103,4.3756140646450765,4.17373850848178,4.978508161094524,4.776439451651003,7.197114714713619,6.581612521835947,6.115088632913207,6.0292689465532,8.378853786770456,7.596983898824911,4.880356680672404,8.87419483562111,4.970084008285725,8.854318153882248,6.373487907119478,4.030265359563746,4.060006214058691,4.346552764483678,6.452379503770612,5.284491235283412,3.525026122881964,4.59631357141956,5.976360570555703,5.304436711832118,4.569819885691858,6.966128363523994,6.534564311014532
