,YAL007C,YAL012W,YBR127C,YCL057W,YCR012W,YDL055C,YDL097C,YDL236W,YDR382W,YDR395W,YDR516C,YDR533C,YEL021W,YER012W,YGL062W,YGL255W,YGL256W,YGR124W,YGR231C,YHR146W,YJL172W,YJR109C,YKL013C,YKL145W,YLL026W,YLR179C,YLR292C,YML004C,YML063W,YMR217W,YMR297W,YNL138W,YNL216W,YNR021W,YOR099W,YOR198C,YPL143W,YPL231W,YPL262W,YPR074C
YCR073C,4.703292333119119,8.936913647056754,8.708010113872808,4.677917489873586,10.264902633445338,8.400191657689453,5.525535532711693,5.422246076231097,8.55656010599876,3.459269726051544,7.106928692357209,6.399136291890256,5.003858768336558,5.940502944619019,5.773131992314387,4.581323890593581,8.165782375694452,6.129015073111982,5.796784751120818,5.653084421415207,9.005713065596387,6.7752635528791725,5.078839002202179,6.421085411568054,7.320167929796217,7.766367704440053,5.399198614194572,4.556695856162482,8.499298410809304,7.62691907847188,5.914153802041635,5.42884992252026,4.819363304818541,5.459151431502086,5.493476613865101,6.659009666304869,4.523495101073267,7.252223992283515,6.991802879458172,8.274490325790094
YDL025C,4.921173993659139,8.629262435965867,8.719333898105615,4.256559783860554,10.218323708440526,8.466133715633381,5.1608667753722335,5.6141121292276175,8.646787996661718,3.610886370196889,7.2381545717920925,5.905221896198411,4.9466880146638,5.977580829823563,6.348752493714912,6.432957263390263,8.316680900130788,5.503115584542243,5.007255143997037,5.728275708673053,9.259223101506267,6.904852900401624,4.5529573622156105,5.903321503966584,6.8233648411899415,7.8941096050349175,5.129130926542791,3.4489472030921258,8.163525976122424,7.267464888321027,4.635315689971843,4.848229046574435,4.649524265809536,4.652725851537124,5.680737506809153,6.4268299440147425,4.606028835255389,8.025190242764262,6.866262103195669,8.643231394993848
YDL079C,4.882615863810278,8.776578869388294,8.488489336378388,4.7882634811378395,10.555334413225152,8.33192975957194,5.234555784703884,5.273012462214694,8.021526448231983,3.3245970299916627,6.911984357540391,5.71937536496716,5.391744435925566,6.1839899954334046,5.998349909471477,5.45759907220148,8.304533163433025,5.785319828713997,5.756419089271784,5.446308988014018,8.75488286870659,7.043829902644111,4.943146514351258,5.927087917838809,7.1722714042692814,7.6870769051410175,4.7594354282263005,4.551094835435023,8.350898220977822,7.220981456024425,5.4648915817523935,4.5412052965703085,4.568976913812309,5.520966329159871,5.659026178913658,6.4644377524107455,4.3407842740340365,7.770029653326891,6.742580598608076,8.38890385970428
YDL159W,4.955983107939117,8.830288485085914,8.239977738309737,4.98149887991749,10.671661449634096,8.331970951783184,4.741806309374744,5.0784667844256965,8.664254614121662,3.893564119838798,6.691453020300416,6.1481364890743855,5.378155858421666,6.203006172368479,6.2244209888092685,5.699136661208942,8.318338602428081,5.891512845159477,5.520563629251443,5.9246521047780565,8.392908702664785,7.504321851870756,4.978526768182558,6.242713942347388,6.7937218118669245,7.750567660950332,4.420306722288866,3.9667459879661817,8.249937617119983,7.173263665899937,5.447423926603818,4.870198827041482,4.450967606232288,4.5310566786586035,5.62061938332996,7.02366398857853,5.050818727101149,7.120483498710352,6.9960804707942446,8.481953443863604
YDL214C,4.875950837340858,9.072785620627076,8.588743845187345,4.795444858568075,10.41170174018584,8.381726626340955,4.951522222263232,5.388166330181834,8.541691613355468,4.125059877282589,7.019663201504498,5.92335299218961,5.3658549692734185,6.204777784915152,6.126454825865644,6.045956317641183,8.217800287355024,6.164136955342334,5.623543497274403,5.584237005653021,9.067246631487443,7.127264980786822,4.497159280374271,6.279780295007293,6.6821255912302995,7.981232179607082,4.294806531300116,4.385578247921695,8.602299722370452,7.386317196354407,5.605020307720553,4.683321587465602,4.124035112997522,5.483250676740674,5.6271646251043235,6.430727250476041,4.3779357790394835,7.631947739188485,7.9451918086754425,8.392221693924023
YDR122W,5.100019015797835,8.650396829053005,8.301233519029097,4.790090151883236,10.763130110722024,8.351039438236196,4.916848690205148,5.414431031617042,8.845475617933383,3.825821561185133,6.8588512233064876,6.220690323539762,5.644924276776742,6.400802726517986,5.676794079153327,4.820783733585698,8.736053453909884,5.5368817169836575,5.595103405597876,5.671707641937113,8.974008818091322,7.2452196153610275,5.418153186776069,6.397072278108965,6.8703322195000744,7.665705593258965,4.400273455537604,4.001393652699062,7.887077771608325,7.4806785685287664,5.4677243878933535,4.966799440752086,4.630976605086048,2.9786367427115974,5.28799779034497,7.267084590502535,5.0930577227141605,7.0604343796094655,7.089469370835983,8.112758153893642
YDR247W,4.7511753811692925,9.014188048891004,8.551812581324615,4.421942794377408,11.04730009507634,8.354798479947512,4.95900742145251,5.0336300195620005,8.43413331919999,3.6721985837800193,6.865297879744919,5.958958901490432,5.582945420449128,6.129293857059009,5.51574659405938,5.218312786012255,8.517473345249748,5.906212234934072,5.457319939596163,5.713897168278309,8.643033028909594,7.26707351098635,4.953038789305238,6.248297650582418,6.922638123770446,7.6932590380710595,4.682992883160615,4.138878441189592,7.947079959684981,7.475566993958052,5.434140587024438,4.9563218632637644,4.055725705728293,4.086969296430708,5.550016547893401,6.872423276942074,4.975742536048676,6.710646768312597,7.157788748010327,8.425516070979201
YDR283C,4.748903191771634,8.834787224409547,8.473970036812561,4.7990424702856345,10.782846413308473,8.195998330838059,5.264826742701867,5.420200682413057,8.817757373292611,3.7374456438716974,6.845809765677755,6.032788131357437,5.176141717673947,5.841343933012001,6.0365577907598365,6.064034255553574,8.958021130614805,5.77410843462925,5.495075141730207,5.713003726682621,9.006493980207605,7.362433658541651,4.8824381247478605,6.16309370358082,6.70101338194691,7.547574590794394,4.844674090634574,4.296959635950218,8.112218922734534,7.5855031212878705,5.302711178451039,4.766956975551414,4.05486615764673,4.9376398768412635,5.447618232275847,6.672272538752992,4.64563022956777,7.641394760486704,6.894522663300951,8.209958028273537
YDR466W,4.95898706835824,9.185189637695293,8.569578262803844,4.863016420902005,11.007140799886036,8.344857895094862,4.872467881779494,4.783262206322628,9.131017264878762,3.7410451597548686,6.802226545540755,6.2494268422395765,5.541920058375312,5.999432748434639,5.704238047879733,4.566535585676491,8.643863257122637,6.249716987899076,5.517362798075087,6.094911149973633,9.146269184660703,7.125110450019535,5.471216595681028,6.628272532872058,7.32754467270466,8.202870368937761,5.1782702819143065,4.519696852089709,7.795770746071278,7.434659010131874,6.313540446922415,5.029854550901226,4.726087707164067,4.433060834867144,4.874740211730648,7.144294952324931,4.221980218565506,7.637224144792922,7.3738261835393315,7.982845883401997
YDR477W,4.984951351271533,8.744659596648662,8.62889983318733,3.8435362105563735,10.670737701225207,8.373787369270499,5.310879131913661,5.431759189144424,8.741688871643658,3.888949831750387,6.983175124224566,5.596553416328621,4.593508773996778,6.577128324796692,6.307689510509237,4.946838621534349,6.128554290078462,5.93526373072125,5.241656249196625,5.665979733247782,9.029750825450146,7.274252468908728,4.714852646488895,5.938119097124509,6.69858955989043,7.325718002289817,4.976625713727492,4.020462136326824,8.018613224724447,7.4125689333158675,4.616616298502935,4.3209678465061385,4.375506860225413,4.859403334019678,5.5251571607169945,6.650773055097687,4.5464928148711765,7.637404972902006,6.7324270814723075,8.436310005951476
