,YBR089C-A,YCR004C,YDL014W,YDR063W,YDR226W,YDR321W,YDR382W,YDR427W,YDR533C,YER012W,YER052C,YER091C,YFL039C,YFR010W,YGL048C,YGL062W,YGL206C,YGR231C,YGR253C,YHR107C,YHR146W,YIL109C,YIR034C,YJL012C,YJL066C,YJL217W,YJR016C,YJR109C,YKL212W,YLR180W,YLR197W,YML008C,YMR217W,YNL104C,YNL134C,YOR007C,YPL226W,YPL262W,YPR074C,YPR163C
YCR073C,5.823051211456635,6.390687708731001,5.442129350556517,5.5393769851577686,8.521269239208262,6.062957954089033,8.55656010599876,4.723088338068764,6.399136291890256,5.940502944619019,6.731831468570044,9.95501490877206,9.3400562490926,4.667712614029071,5.6929702653530265,5.773131992314387,3.932561661759965,5.796784751120818,6.6453952155305185,6.078385019182058,5.653084421415207,3.773667637114262,6.67731382332065,5.392874622896347,4.407667418407079,5.541417636445301,7.9022654912753465,6.7752635528791725,4.8108045118086755,7.49950143912384,7.183471360670023,6.574673695272223,7.62691907847188,7.1705265699738225,5.342428226051728,6.723328098747591,5.8713421871686124,6.991802879458172,8.274490325790094,6.496432308618085
YDL025C,5.9418950599789015,6.334425261145843,5.535245457317012,5.07533976557894,8.330673859086055,6.111220755891469,8.646787996661718,4.371489314250084,5.905221896198411,5.977580829823563,6.761242260846645,10.133007300123527,9.061592741661439,3.8178352211382207,5.536527028823744,6.348752493714912,5.4529054819294345,5.007255143997037,6.4522850286874025,5.753109112659709,5.728275708673053,4.838525139588746,6.92625030444764,5.5086760956570116,4.106783555061144,6.12479010077492,8.042836045722831,6.904852900401624,5.241860611356857,7.8047874669370305,6.616953598525092,6.617128664946402,7.267464888321027,7.166232816728598,5.2434243622545536,6.278069701885644,6.412296740320959,6.866262103195669,8.643231394993848,6.416242678922532
YDL079C,5.670875309205745,6.03816718326442,6.2404893819410505,5.202997658250526,8.297278770246589,5.907989090875225,8.021526448231983,4.769519372946849,5.71937536496716,6.1839899954334046,6.721879298305888,9.895165571806833,8.938686483129787,3.6055453996544338,5.591432723790266,5.998349909471477,4.883680697387602,5.756419089271784,6.419429748826608,5.793554188798562,5.446308988014018,4.317671245374409,6.661716392152733,5.163450497030159,4.240716908543448,5.438679778864869,7.872114207790814,7.043829902644111,5.004884056506149,8.095355066650322,6.698472110014801,6.651562695745922,7.220981456024425,7.1674682002783765,5.4247499435782975,6.241836101412081,6.3235885299985695,6.742580598608076,8.38890385970428,6.611623222425848
YDL159W,5.561476810260428,5.811617627373164,6.516900274880017,4.7432214742951535,8.089264633491984,5.994660021983497,8.664254614121662,4.808943119108321,6.1481364890743855,6.203006172368479,6.9736830172201705,9.703707024382648,8.637851829334668,4.511355692573964,5.870752868842969,6.2244209888092685,4.052467915992583,5.520563629251443,6.479566208654612,7.252908864102768,5.9246521047780565,4.432298943473596,6.592493366074367,4.9959263914308165,3.9853665100459934,6.515920170955961,8.183664274887803,7.504321851870756,4.971637324770736,8.015337431361118,6.961973789124209,7.207743843897362,7.173263665899937,7.57182492827704,6.178982710070816,6.320750289010272,6.198901378199937,6.9960804707942446,8.481953443863604,6.729569616862973
YDL214C,5.4853465932698136,5.93793173241533,6.422982747884985,4.744302489600287,8.252998988792054,6.092701372768726,8.541691613355468,4.443874858400493,5.92335299218961,6.204777784915152,6.88951594958633,9.853373269790216,8.94253452755193,3.705246787082469,5.660795584927636,6.126454825865644,4.8499513807244465,5.623543497274403,6.324076928850857,5.3367162925789495,5.584237005653021,4.341744933919984,6.741483323072263,5.29438997975369,4.028305078911621,5.403277063229108,7.7893459584134135,7.127264980786822,5.015883261510917,8.297798552521161,6.801535790494789,6.8249629246917705,7.386317196354407,6.790696929801519,5.34090539472887,6.296080209199044,6.200731009104108,7.9451918086754425,8.392221693924023,6.634872912270094
YDR122W,5.545351824073907,6.0117646187049125,6.957681819359733,5.214944409257108,8.36526437507285,6.175080382616768,8.845475617933383,5.0755565462103425,6.220690323539762,6.400802726517986,6.617706908667773,9.466336324208424,8.927575798152944,3.740635842634938,5.958041739256688,5.676794079153327,3.864649481078695,5.595103405597876,6.525261545248653,5.96570978275344,5.671707641937113,4.244811275929458,6.612506792701478,5.549439301284477,4.0144921697876415,5.688936052085048,7.834833599601139,7.2452196153610275,4.482315129970822,8.079142701427772,6.850017513622928,7.051016003985076,7.4806785685287664,7.1713537676184975,6.0967956969083525,6.35367599307107,5.59256277877164,7.089469370835983,8.112758153893642,6.483975613933088
YDR247W,4.76241071166991,6.195043680537733,6.921194104557081,5.169657495328437,8.18471546193229,6.3867260686210345,8.43413331919999,4.717137005886705,5.958958901490432,6.129293857059009,6.742942381803379,9.49680016355492,9.015002508041741,4.399955932856409,5.95175591879791,5.51574659405938,3.4647146092723,5.457319939596163,6.308125549132698,6.340688451021906,5.713897168278309,3.7894313388615934,6.444492385192012,5.373930988110905,4.478401132747765,5.928305673345957,7.842006379405871,7.26707351098635,4.297972156914662,8.22113125757067,7.1717140766551735,6.764043526423312,7.475566993958052,7.048631727831857,5.447804398209853,6.577846701371254,5.5659585392042885,7.157788748010327,8.425516070979201,6.790102646080742
YDR283C,5.480634853492967,6.113078447952341,6.835595423943218,5.209092389713092,8.45327309016158,5.879131203031436,8.817757373292611,5.160035067138393,6.032788131357437,5.841343933012001,6.8549829627733265,9.936093379388787,8.836862954716224,4.092028120569719,5.684901850089158,6.0365577907598365,4.8524689326629655,5.495075141730207,6.471567210046711,6.196025258537666,5.713003726682621,4.596081488323055,6.612111014350282,5.673086783020191,3.857688378763647,5.306556961409584,7.833584671294987,7.362433658541651,5.07190199011646,8.167979669422992,7.007434843151144,6.80900501994604,7.5855031212878705,7.16323003069018,4.896801325783008,6.733462522132857,6.100287283120728,6.894522663300951,8.209958028273537,6.632888049679191
YDR466W,5.9458671189852765,6.349860601809198,6.426150373436593,5.463505900969023,8.876326195362898,6.231979365095644,9.131017264878762,5.030911119580722,6.2494268422395765,5.999432748434639,6.609851274174424,9.924248128628914,8.993194123567081,3.922326531661176,5.550980457377267,5.704238047879733,3.3742911518692824,5.517362798075087,6.77691654725883,5.594225989222269,6.094911149973633,4.52397635185409,6.294219705422486,4.791219256344434,4.371170064956703,4.583329861051633,7.8108340910094105,7.125110450019535,4.963458946636164,8.012031576352426,7.285853865330554,6.422834963741268,7.434659010131874,7.235965310073353,5.811120654619293,7.575920904649108,6.243996403935619,7.3738261835393315,7.982845883401997,6.952083949993362
YDR477W,5.618458159179358,6.317049143036045,5.382233446659132,5.177844861338262,8.379567966138877,5.844698282359059,8.741688871643658,5.047138621448932,5.596553416328621,6.577128324796692,6.8900452707552935,9.982781150054516,9.042753388800808,4.302154898614739,5.5780830412722775,6.307689510509237,5.001851618775733,5.241656249196625,6.476849310835863,6.132089913662738,5.665979733247782,4.729633754237013,6.879627218667745,3.5907680149029693,4.02685379732436,6.0082717546537046,8.005672166133971,7.274252468908728,5.245273096870736,7.793407030517407,6.6529564444613065,7.053569468657389,7.4125689333158675,7.421719584157479,4.99025183059848,6.459774577161221,6.164150995422283,6.7324270814723075,8.436310005951476,6.287492359332229
