,YBR085C-A,YBR106W,YBR126C,YCL009C,YDL130W,YDL171C,YDR002W,YDR019C,YDR427W,YER006W,YER012W,YGL087C,YGR034W,YGR155W,YGR175C,YGR254W,YHR174W,YJL012C,YJL020C,YJL158C,YJL167W,YJL217W,YJR070C,YJR109C,YKL145W,YLR197W,YLR344W,YML004C,YML092C,YMR091C,YMR131C,YMR315W,YNL231C,YNL255C,YNL287W,YOL139C,YOL154W,YOR074C,YOR209C,YOR259C
YCR073C,4.241348806078937,5.348890074069492,7.4042699116783695,7.217925429762063,6.043754243994164,7.256901534295973,6.216157281983775,7.325833083927888,4.723088338068764,4.315407797649378,5.940502944619019,3.6214325454324783,7.037639701466647,8.176609363778844,5.462967289948352,9.856004796760878,10.474274509265047,5.392874622896347,5.7478862792756935,3.6447171398373484,5.076180020422263,5.541417636445301,6.009796123354643,6.7752635528791725,6.421085411568054,7.183471360670023,6.165569044263824,4.556695856162482,5.258473540910186,5.322302026149202,3.5158586048341243,4.383657326161946,5.490120576256313,3.074920929307452,5.547825721217042,7.154131641322781,6.395571710993536,5.153714501515187,5.153526186580393,4.758403828089034
YDL025C,4.018828824722919,5.481572395692816,7.037336446053496,7.529648417168013,6.177293388381032,7.7348394803562615,5.559037186309407,7.487945354158567,4.371489314250084,4.372739509641562,5.977580829823563,3.0218673720584848,6.518111890369793,7.659873293238107,5.680988660089893,9.605279959964786,10.321169372806043,5.5086760956570116,5.2838634583385025,3.0710817312022844,4.631912042075896,6.12479010077492,5.7295591464581195,6.904852900401624,5.903321503966584,6.616953598525092,5.814403981497719,3.4489472030921258,4.878375313268407,5.139151000142203,4.124443734774414,4.3276224669294825,5.1926905762702775,3.9481729020494662,4.577226835661801,7.089000313451523,6.543465205578411,4.687103373010421,5.180978249042205,3.4675946832814164
YDL079C,4.0006843894651185,5.55706731144317,7.338060979338932,7.409147214644665,6.507879911167881,6.967629849491369,6.452834753431313,7.205435817382728,4.769519372946849,4.710820812175864,6.1839899954334046,3.7549061382703286,6.663359730767622,7.588347354772805,4.9448210083979,9.574105201436648,10.547825470682724,5.163450497030159,5.1706635095928934,4.468475601222528,5.483209973021376,5.438679778864869,5.395614918285303,7.043829902644111,5.927087917838809,6.698472110014801,5.9273422528256825,4.551094835435023,5.402217202289384,5.056421617814944,3.860640794165011,4.368503134528061,5.477225496894517,2.5747057403457796,5.704754342812264,7.14485751243013,7.299408908598676,4.495939939693732,5.434516535145705,4.9849811094875065
YDL159W,4.7101051497612145,5.318452199637614,6.987963006641344,7.543789532541834,6.871098319416492,7.1079562201205455,6.1511364581743475,7.181293062219943,4.808943119108321,5.41033465767566,6.203006172368479,4.336930152321652,6.595418231678663,7.850072332371178,6.612493923911015,9.779720793672922,10.272390379192275,4.9959263914308165,5.272441614332196,5.264947259460718,5.498287987816707,6.515920170955961,5.4876083073791575,7.504321851870756,6.242713942347388,6.961973789124209,6.032944554917381,3.9667459879661817,5.509449539003144,4.7852461011713405,4.074287624299656,3.9254628014667614,5.484249532581002,3.2619862827912107,5.404865334773297,7.292647081018223,7.224738747652777,4.501329555627804,5.653606249394326,4.830640189070176
YDL214C,3.80289379036478,5.724813696649705,6.7890578474530665,7.571842813939456,6.9359094351840165,6.926433369483505,6.271039911941433,7.1143158985850015,4.443874858400493,4.999580919193281,6.204777784915152,4.556729956812978,6.765747569974956,7.655914722742562,4.801416794150897,9.409360724606453,10.66196163010916,5.29438997975369,4.214261038402318,4.3749657867328064,5.4921507399066565,5.403277063229108,5.864354201928679,7.127264980786822,6.279780295007293,6.801535790494789,6.202872592969586,4.385578247921695,5.537376835711403,4.939862827083459,3.843488756464121,3.9634193386760406,5.350696595517432,3.0557892670206113,5.654130173871278,7.2089465002482305,6.72984858787489,5.000425486392929,5.668073633690491,4.7680168687937785
YDR122W,5.157703452838078,5.115642636078958,6.453957884686584,7.765658594739561,7.248836401715626,6.1073414057186834,6.636014171358728,7.1511630399780906,5.0755565462103425,5.327670066291214,6.400802726517986,5.0604498029710285,6.383855997141232,7.990889644620768,5.7480821294378925,9.626867849554746,10.549622208789977,5.549439301284477,5.205375150715902,5.851271386752773,5.971944987594787,5.688936052085048,5.704726367892716,7.2452196153610275,6.397072278108965,6.850017513622928,5.907107087629795,4.001393652699062,5.403917121215593,5.1162819719118655,4.4642891426944855,4.878673570716106,5.1850729238650874,3.983520355109561,5.739369779053407,6.881942599644295,7.0296602983565215,4.638996519880738,6.042098406867473,5.170456926215858
YDR247W,4.399543732796267,5.051581162278187,6.853487803415997,7.544753689505365,6.789620981672377,6.961829204872494,6.413004883963794,7.590978048493057,4.717137005886705,5.310011054214586,6.129293857059009,4.944596098707064,6.068255618465635,7.786590791223429,5.5697774396462485,9.51574312895331,10.82432024003585,5.373930988110905,5.000904311592025,5.833143411278192,5.689568217314505,5.928305673345957,6.013092063432503,7.26707351098635,6.248297650582418,7.1717140766551735,5.565072698657159,4.138878441189592,5.639246342545439,4.962581095644259,4.241913885763768,4.78945564947313,5.345318146693543,2.9043519069973667,5.5573930121744715,7.028270523223016,7.067893604807162,4.8272179389126695,6.012581336722066,4.993258989234254
YDR283C,4.723351850033682,5.44053053082284,6.697199287295632,7.556516616507713,7.227051383530401,7.73581209166133,6.479368768086921,7.4113430459777225,5.160035067138393,5.326845733037644,5.841343933012001,3.233455613138005,6.160279271807654,7.805930469432853,5.9738605087991274,9.521528565375071,10.973494330792143,5.673086783020191,5.658040410244785,6.014902301719153,5.873283839029683,5.306556961409584,6.003579912195519,7.362433658541651,6.16309370358082,7.007434843151144,5.608016958888726,4.296959635950218,5.276232960901766,4.407370868833624,4.195282863796197,4.21667456497525,5.3175082871738875,3.6295475214819657,5.754676924619313,7.018234547330903,7.212609917316702,4.725057260705384,5.606189120411118,5.0453382497674575
YDR466W,4.870399807894942,5.328174491792368,7.325598693801483,7.504760830381877,7.241940884842213,6.760112984851959,6.283431113239286,7.1362213805337325,5.030911119580722,5.597877204415876,5.999432748434639,5.041917602745006,6.526874900993709,8.266377647624202,5.470592138727076,10.111339909967556,10.990019527907483,4.791219256344434,5.8750486502340875,6.461293079374416,5.687314886759893,4.583329861051633,5.9504101935593585,7.125110450019535,6.628272532872058,7.285853865330554,5.654531851527523,4.519696852089709,5.625205844028999,5.252156841981999,4.115729701036615,3.8824153728720487,5.778263555068171,2.972036193827819,6.246382831782082,7.716150852831067,7.066542785988432,4.941634701962733,6.0541765764787066,4.917356871586418
YDR477W,4.291188020153608,5.320285623629493,6.607743213767821,7.581577971125796,6.388454633599857,7.663674290835832,5.995402749042668,7.417238108312818,5.047138621448932,4.731594512273826,6.577128324796692,3.531988985676845,6.181847728496583,7.684954128579805,6.899561193137249,9.315421631165142,10.761199518733713,3.5907680149029693,5.688238525704551,4.175553994755527,5.157134798640858,6.0082717546537046,5.468446600096673,7.274252468908728,5.938119097124509,6.6529564444613065,5.619820632527619,4.020462136326824,4.974023233756596,4.805881144488791,4.0257744415425645,4.494123972740673,5.200278658394222,3.818523261349675,5.604822071654033,7.130628285709211,4.179317118384858,4.667590509215733,5.2599759750593,5.072885221925586
